#OTU ID	CTL_Ctrl1_Trip1	CTL_Ctrl2	CTL_Ctrl3	CTL_ExtractionCtrlPro_Trip1	CTL_NTC2	CTL_NegCtrl1_Trip2	CTL_NegCtrl2_Trip2	CTL_PCRCtrl_Trip1	TRIP4_EB1	TRIP4_EB2	TRIP4_EB3	TRIP4_EB4	TRIP4_EB5	TRIP4_SEB
1542e91c99d9766e4afa866f20f227e2	53393	0	0	0	0	0	0	0	0	0	0	0	0	0
f2498d6f9a80f8edbd73769914d8a38a	48420	0	0	0	0	0	0	119	0	0	0	0	0	0
85dcefcabb539c1513210b3491f12168	0	7160	13228	282	0	15369	12229	107	0	0	0	0	0	0
899f472bcb20419a21a9af29154f02ea	43936	0	0	0	0	0	0	27	0	0	0	0	0	0
2f4a2b08eec8d8d5f66dc0d20552881f	40616	0	0	0	0	0	0	94	0	0	0	0	0	0
1cc7e5a05cf232d0e5d30035b3ab61bc	30234	5	4	0	0	0	0	83	0	0	0	0	0	0
c6cdc71a1f7376db5a843ade152ed641	28189	0	0	0	0	0	0	0	0	0	0	0	561	0
5120154a2e110a03470462117710de9b	0	4816	6708	6319	0	4689	4166	78	0	0	0	0	0	34
6e7604ec6f61c2fee0d97a8d8b3d057d	0	29	11	16953	1215	4	0	471	1525	1294	1000	903	1487	755
279ef3bc89505b2ffac7b88f8cc5ee8d	0	2406	4571	1792	0	5011	3812	0	0	0	0	0	0	45
22353e4ca7c67318338d32aa23dc428e	0	4400	3696	1508	0	3899	3646	132	0	0	0	0	0	0
1b1dbb75d5d28e3c4d13e332bede7fd4	0	4145	4638	902	0	3738	3332	103	0	0	0	0	0	0
90865788b8ad091f45313d18dc1ab2ce	0	16639	0	0	0	0	0	0	0	0	0	0	0	0
54101b5afcc1f2292e59bc5c04f52ff3	0	3461	3916	391	0	3376	3626	0	0	0	0	0	0	0
8fa495fd29c75d316a58131088abef33	0	8965	1848	0	0	698	509	0	0	0	0	0	0	0
747249a3047fbf2e202fdf7e885bd01e	0	11333	0	0	0	0	0	0	0	0	0	0	0	0
5bf8d80ebe4898d1e961de3791819b22	0	21	0	10664	0	0	0	30	52	0	0	0	0	194
448dbd891a66d6cbc432a90f68113186	10582	0	0	0	0	0	0	0	0	0	0	0	0	0
f6f28ee86415068e9998585aa6621fca	9987	0	0	0	0	0	0	0	0	0	0	0	0	0
af74bef8cfb2659cd8a8b6cc529c5f7d	0	3447	2899	442	0	1888	993	0	0	0	0	0	0	20
b1027995a38f014f49774b4bb2ed7f9a	0	0	0	8891	0	0	0	0	0	0	0	0	0	11
18402092b9bf53f295535c52e520fbff	0	1880	1869	0	0	2371	1696	0	0	0	0	0	0	0
014c0efbd112809f3c32f65fc3d86b90	0	3431	1813	772	0	796	638	204	0	0	0	0	0	0
023f970ba9470dbd7ff12269f38dcf55	0	7184	192	0	0	96	44	0	0	0	0	0	0	0
0a906fc42f65259c8ca23478f35e8193	0	7335	0	0	0	0	0	0	0	0	0	0	0	0
478171bf63468fbfd3d64becae9ad5dd	0	0	0	7317	0	0	0	0	0	0	0	0	0	5
471aab5b08ceabf0a488242b4a3f1300	0	3094	1467	867	0	855	786	96	0	0	0	0	0	0
a3a8c2081e49dcba4b72d853041f1267	0	0	0	7080	0	0	0	0	0	0	0	0	0	0
ca8736361540642fec3cbe3527e86093	0	0	0	6968	0	0	0	0	0	0	0	0	0	0
7afb08a96f9beb27e16622379df03cfe	0	3716	1550	458	0	530	501	140	0	0	0	0	0	0
bbc3fb9571dd358ce48282ca5b5e4bf3	0	1145	2162	1172	0	1319	973	11	0	0	0	0	0	0
b9ab0d4d157f7bc63823c685a0819b56	6762	0	0	0	0	0	0	0	0	0	0	0	0	0
9dfc6d55bd70beec024afc86cce31cc2	0	0	0	6758	0	0	0	0	0	0	0	0	0	0
35439b22c093ca36484fe53142919027	0	3378	1268	0	0	741	661	39	0	0	0	0	0	0
cda0a1e523ee447dd40258c136250d1c	0	0	0	5730	0	0	0	0	0	0	0	0	0	0
6bab3a643b14fc038108855f2a23df23	0	5680	0	0	0	0	0	0	0	0	0	0	0	0
471beaf22499da9a0779492186cd6a19	0	524	1954	2367	0	493	275	0	0	0	0	0	0	21
7735c24df5f9f16d42220e6280c4cf33	5576	0	0	0	0	0	0	0	0	0	0	0	0	0
