sampleID	forwardReads	reverseReads	run
TRIP4_SEB	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0684_SEB_SU0168-SU0168_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0684_SEB_SU0168-SU0168_L002_R2_001.fastq.gz	A
TRIP4_EB1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0770_EB1_SU0216-SU0216_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0770_EB1_SU0216-SU0216_L002_R2_001.fastq.gz	A
TRIP4_EB2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0771_EB2_SU0228-SU0228_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0771_EB2_SU0228-SU0228_L002_R2_001.fastq.gz	A
TRIP4_EB3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0772_EB3_SU0240-SU0240_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0772_EB3_SU0240-SU0240_L002_R2_001.fastq.gz	A
TRIP4_EB4	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0773_EB4_SU0252-SU0252_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0773_EB4_SU0252-SU0252_L002_R2_001.fastq.gz	A
TRIP4_EB5	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0774_EB5_SU0264-SU0264_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0774_EB5_SU0264-SU0264_L002_R2_001.fastq.gz	A
CTL_ExtractionCtrlPro_Trip1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0929_Extraction-Ctrl-Pro-Trip1_UDP0384-UDP0384_L002_R2_001.fastq.gz	A
CTL_PCRCtrl_Trip1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0555_PCR-Ctrl-Trip1_UDP0374-UDP0374_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0555_PCR-Ctrl-Trip1_UDP0374-UDP0374_L002_R2_001.fastq.gz	A
CTL_Ctrl1_Trip1	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0323_Ctrl-1-Trip1_UDP0371-UDP0371_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0323_Ctrl-1-Trip1_UDP0371-UDP0371_L002_R2_001.fastq.gz	A
CTL_Ctrl2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0553_Ctrl-2_UDP0372-UDP0372_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0553_Ctrl-2_UDP0372-UDP0372_L002_R2_001.fastq.gz	A
CTL_Ctrl3	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0554_Ctrl-3_UDP0373-UDP0373_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0554_Ctrl-3_UDP0373-UDP0373_L002_R2_001.fastq.gz	A
CTL_NegCtrl1_Trip2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0870_Neg-Ctrl-1-Trip2_SU0335-SU0335_L002_R2_001.fastq.gz	A
CTL_NegCtrl2_Trip2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0871_Neg-Ctrl-2-Trip2_SU0347-SU0347_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0871_Neg-Ctrl-2-Trip2_SU0347-SU0347_L002_R2_001.fastq.gz	A
CTL_NTC2	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0875_NTC-2_SU0312-SU0312_L002_R1_001.fastq.gz	/ibex/project/c2014/EmptyQuarter_Data/soil/amplicon_16S/novaseq_14_07_25/raw_reads/M-25-0875_NTC-2_SU0312-SU0312_L002_R2_001.fastq.gz	A
