trip	metric	comparison	n_sites	mean_difference	median_difference	ci_low	ci_high	wilcoxon_w	p	fraction_positive	bootstrap_resamples	bootstrap_seed	q_within_metric
all	shannon	Deep-Surface	60	0.07581589837084352	0.10095949630720291	-0.0894842382747516	0.2358939905290909	699.0	0.11181085778953141	0.5666666666666667	1000000	20260723	0.1900784582422034
all	shannon	Rhizosphere-Surface	60	-0.12170005793887505	-0.25139890893259054	-0.31107408890447025	0.08622568301056455	577.0	0.0128383632104671	0.3333333333333333	1000000	20260723	0.031178882082562958
all	shannon	Rhizosphere-Deep	60	-0.19751595630971852	-0.4319265120774838	-0.3889754815874333	0.006773846778355073	576.0	0.01257501844369198	0.31666666666666665	1000000	20260723	0.031178882082562958
1	shannon	Deep-Surface	52	0.43441840956834343	0.3897755893161059	0.24114529781685842	0.6329190690515527	222.0	2.1099144751812227e-05	0.75	1000000	20260723	0.00017934273039040392
1	shannon	Rhizosphere-Surface	45	-0.1283396019628884	-0.32793463530988376	-0.3902362811583983	0.16281056574788297	381.0	0.12558989826936795	0.4	1000000	20260723	0.19409347914356864
1	shannon	Rhizosphere-Deep	46	-0.5113005687266429	-0.6903001622354665	-0.7422735033513123	-0.24576777516784795	160.0	1.0896568198859313e-05	0.21739130434782608	1000000	20260723	0.00017934273039040392
2	shannon	Rhizosphere-Surface	4	-0.672596129217832	-0.5949103886568237	-1.3324960163070934	-0.09038198268957887	1.0	0.25	0.25	1000000	20260723	0.30357142857142855
2	shannon	Rhizosphere-Deep	5	0.4130829790838126	0.25352416744715267	-1.154414109835368	1.928800703912519	6.0	0.8125	0.6	1000000	20260723	0.8125
3	shannon	Deep-Surface	54	0.21608043551540798	0.14901095735800496	-0.0027429310739601836	0.4329535964102507	481.0	0.024349331765690114	0.6666666666666666	1000000	20260723	0.04599318222408132
3	shannon	Rhizosphere-Surface	54	-0.3328556213889763	-0.3788377620703076	-0.5971634255057618	-0.06507672266584176	436.0	0.00831431774910077	0.35185185185185186	1000000	20260723	0.028268680346942614
3	shannon	Rhizosphere-Deep	54	-0.44579963148388374	-0.43330606242445935	-0.7438373058282722	-0.14683647717225326	388.0	0.002270781527811428	0.25925925925925924	1000000	20260723	0.01035473989253319
4	shannon	Deep-Surface	59	-0.21630320154026572	0.0014578132981766245	-0.5251303757149401	0.06587532597258475	793.0	0.4874227483084589	0.5254237288135594	1000000	20260723	0.5178866700777376
4	shannon	Rhizosphere-Surface	58	-0.3750334016997301	-0.3859511435536056	-0.7337242178000248	0.005136942989262419	464.0	0.0024364093864783975	0.29310344827586204	1000000	20260723	0.01035473989253319
4	shannon	Rhizosphere-Deep	57	-0.1789992436108061	-0.43632015036918315	-0.5748476952271637	0.23713958640933563	649.0	0.15845866402419906	0.40350877192982454	1000000	20260723	0.20721517603164494
5	shannon	Deep-Surface	17	0.1534439619820268	0.20215152608663534	-0.2624058258822966	0.5504743863258372	57.0	0.3778228759765625	0.5882352941176471	1000000	20260723	0.4281992594401042
5	shannon	Rhizosphere-Surface	22	-0.27703056307397445	-0.18972356953155822	-0.5868153808941221	0.037041643422344075	82.0	0.15597057342529297	0.4090909090909091	1000000	20260723	0.20721517603164494
5	shannon	Rhizosphere-Deep	32	-0.3540173768966818	-0.32808708453257474	-0.6210685766113705	-0.084077939582914	139.0	0.018431528005748987	0.28125	1000000	20260723	0.0391669970122166
all	richness_rare	Deep-Surface	60	142.34965992161546	76.05964650884016	40.73527259695198	245.40472537193062	604.0	0.022052724560650692	0.5666666666666667	1000000	20260723	0.06618957442028986
all	richness_rare	Rhizosphere-Surface	60	-7.950601826273888	3.5114001427149333	-132.5375027796418	117.75561190043707	886.0	0.8309475279594561	0.5	1000000	20260723	0.8863440298234199
all	richness_rare	Rhizosphere-Deep	60	-150.30026174788932	-65.37553307204428	-275.0652401780366	-28.083734917587076	659.0	0.05948786601845167	0.43333333333333335	1000000	20260723	0.11897573203690334
1	richness_rare	Deep-Surface	52	267.83412499384673	192.96709246141617	105.84095184951458	434.41065989025714	379.0	0.004755518013585786	0.6923076923076923	1000000	20260723	0.019022072054343146
1	richness_rare	Rhizosphere-Surface	41	-26.206043164447898	-11.730919145175449	-237.14782803118487	180.54419496433994	425.0	0.9489011496671083	0.4878048780487805	1000000	20260723	0.9489011496671083
1	richness_rare	Rhizosphere-Deep	42	-406.68163117551404	-307.8419934229203	-632.805518698736	-191.87886756323198	188.0	0.0006853578411210037	0.23809523809523808	1000000	20260723	0.00548286272896803
2	richness_rare	Rhizosphere-Surface	3	360.4150849298422	328.4518550579246	90.57840546839998	662.214994263202	0.0	0.25	1.0	1000000	20260723	0.36363636363636365
3	richness_rare	Deep-Surface	53	187.26773931774264	117.47314281605372	56.017943070343875	322.08158003728767	462.0	0.024821090407608697	0.5849056603773585	1000000	20260723	0.06618957442028986
3	richness_rare	Rhizosphere-Surface	54	-301.1378010208769	-372.5542103622661	-471.7447313771078	-123.24481403905877	368.0	0.001261811161109622	0.2777777777777778	1000000	20260723	0.006729659525917984
3	richness_rare	Rhizosphere-Deep	53	-450.74157553583825	-504.9564745755031	-641.5672941709186	-255.71617368889522	269.0	7.725510608599777e-05	0.22641509433962265	1000000	20260723	0.0012360816973759643
4	richness_rare	Deep-Surface	56	-126.12050412522919	-86.29567377208025	-310.15000809908156	53.80238945481024	666.0	0.2815986063756848	0.44642857142857145	1000000	20260723	0.37546480850091307
4	richness_rare	Rhizosphere-Surface	56	-243.04671070837483	-155.53109761690425	-452.20586573945144	-34.11398140746428	542.0	0.03677856966738781	0.39285714285714285	1000000	20260723	0.08406530209688642
4	richness_rare	Rhizosphere-Deep	54	-155.0118927932441	-10.600648879439518	-374.2752300199488	66.90460965300713	590.0	0.18916332255490453	0.48148148148148145	1000000	20260723	0.30266131608784724
5	richness_rare	Deep-Surface	17	220.74694532606858	4.35154368128633	-241.12965872946322	685.5023208561448	58.0	0.4037628173828125	0.5294117647058824	1000000	20260723	0.46144321986607145
5	richness_rare	Rhizosphere-Surface	22	-237.91447303479953	-71.99141549014746	-613.6542110986693	137.91740899165504	94.0	0.30530881881713867	0.5	1000000	20260723	0.3757647000826322
5	richness_rare	Rhizosphere-Deep	32	-321.95147881799744	-280.87893051105607	-695.8082382038623	55.484742882571766	179.0	0.11498490627855062	0.375	1000000	20260723	0.20441761116186777
