model	term	estimate	std_error	z	p	ci_low	ci_high
additive_unadjusted	Intercept	5.596780632	0.112820505	49.60783178	0	5.375656506	5.817904759
additive_unadjusted	C(Trip)[T.2]	-0.491393616	0.227698251	-2.158091307	0.03092073349	-0.9376739873	-0.04511324481
additive_unadjusted	C(Trip)[T.3]	-0.05782896248	0.09745701886	-0.5933791445	0.5529274429	-0.2488412095	0.1331832845
additive_unadjusted	C(Trip)[T.4]	0.01356147041	0.1142856333	0.1186629501	0.9055423906	-0.2104342548	0.2375571957
additive_unadjusted	C(Trip)[T.5]	0.6127497763	0.0987524574	6.204906616	5.472939105e-10	0.4191985164	0.8063010362
additive_unadjusted	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.07370864622	0.07327716572	1.005888335	0.3144692881	-0.06991195947	0.2173292519
additive_unadjusted	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.2374554569	0.0848187302	-2.799563921	0.005117168395	-0.4036971134	-0.07121380053
additive_depth_adjusted	Intercept	-0.5285960939	0.7250090982	-0.729088911	0.4659472773	-1.949587815	0.8923956271
additive_depth_adjusted	C(Trip)[T.2]	-0.01280450671	0.1579374852	-0.08107325945	0.9353836915	-0.3223562894	0.296747276
additive_depth_adjusted	C(Trip)[T.3]	-0.3175794808	0.1101473235	-2.883224672	0.003936265816	-0.5334642678	-0.1016946937
additive_depth_adjusted	C(Trip)[T.4]	0.2153103355	0.1037139763	2.076001165	0.03789384329	0.01203467733	0.4185859936
additive_depth_adjusted	C(Trip)[T.5]	0.1767212857	0.1259579956	1.403017608	0.1606115882	-0.07015184918	0.4235944206
additive_depth_adjusted	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.1033956796	0.05893413021	1.754427855	0.07935722192	-0.01211309304	0.2189044523
additive_depth_adjusted	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.161796104	0.0757511247	-2.135890452	0.03268834403	-0.3102655802	-0.01332662778
additive_depth_adjusted	log_sequencing_depth	0.4711177523	0.05202462744	9.055667967	1.35734445e-19	0.3691513562	0.5730841484
depth_and_kit_as_recorded	Intercept	-0.7701479708	0.7054024391	-1.091785239	0.2749275084	-2.152711346	0.6124154043
depth_and_kit_as_recorded	C(Trip)[T.2]	-0.0970758755	0.1631902182	-0.5948633233	0.5519348353	-0.4169228257	0.2227710747
depth_and_kit_as_recorded	C(Trip)[T.3]	-0.5731692146	0.1557294074	-3.680545788	0.0002327352612	-0.8783932445	-0.2679451847
depth_and_kit_as_recorded	C(Trip)[T.4]	0.09426867537	0.3707152943	0.2542886059	0.7992726018	-0.63231995	0.8208573007
depth_and_kit_as_recorded	C(Trip)[T.5]	0.2801264338	0.3403473427	0.8230604405	0.4104736236	-0.3869421001	0.9471949677
depth_and_kit_as_recorded	"C(Type, Treatment(reference=""Surface""))[T.Deep]"	0.1092901827	0.06230875894	1.754009943	0.07942880348	-0.01283274074	0.2314131061
depth_and_kit_as_recorded	"C(Type, Treatment(reference=""Surface""))[T.Rhizosphere]"	-0.1366186201	0.07771616527	-1.757917669	0.07876151891	-0.2889395051	0.01570226482
depth_and_kit_as_recorded	C(dna_kit)[T.PowerSoil MoBio]	0.01508126118	0.2923858911	0.05157998945	0.9588633642	-0.557984555	0.5881470774
depth_and_kit_as_recorded	C(dna_kit)[T.Pro]	-0.145928482	0.1429794444	-1.020625605	0.3074318534	-0.4261630436	0.1343060796
depth_and_kit_as_recorded	C(dna_kit)[T.QIACube]	-0.5026195195	0.4510551914	-1.114319332	0.2651422165	-1.38667145	0.3814324107
