metric	contrast	contrast_label	n_sites	mean_difference	median_difference	bootstrap_ci_low	bootstrap_ci_high	wilcoxon_w	p	fraction_positive	bootstrap_resamples	bootstrap_seed	q_within_metric
shannon	Deep-Surface	shallow subsurface minus surface	60	0.0758158983708	0.100959496307	-0.0894842382748	0.235893990529	699	0.11181085779	0.566666666667	1000000	20260723	0.11181085779
shannon	Rhizosphere-Surface	root-adjacent minus surface	60	-0.121700057939	-0.251398908933	-0.311074088904	0.0862256830106	577	0.0128383632105	0.333333333333	1000000	20260723	0.0192575448157
shannon	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-0.19751595631	-0.431926512077	-0.388975481587	0.00677384677836	576	0.0125750184437	0.316666666667	1000000	20260723	0.0192575448157
richness_hurlbert_25000	Deep-Surface	shallow subsurface minus surface	60	142.349659922	76.0596465088	40.735272597	245.404725372	604	0.0220527245607	0.566666666667	1000000	20260723	0.066158173682
richness_hurlbert_25000	Rhizosphere-Surface	root-adjacent minus surface	60	-7.95060182627	3.51140014271	-132.53750278	117.7556119	886	0.830947527959	0.5	1000000	20260723	0.830947527959
richness_hurlbert_25000	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-150.300261748	-65.375533072	-275.065240178	-28.0837349176	659	0.0594878660185	0.433333333333	1000000	20260723	0.0892317990277
evenness_h_over_log_hurlbert	Deep-Surface	shallow subsurface minus surface	60	0.0119762498437	0.00980199497698	0.000352268374666	0.0245419516274	579	0.0133797325141	0.666666666667	1000000	20260723	0.0133797325141
evenness_h_over_log_hurlbert	Rhizosphere-Surface	root-adjacent minus surface	60	-0.030935776522	-0.0243263385551	-0.0439804271589	-0.0184183617069	259	1.37074707796e-06	0.2	1000000	20260723	2.05612061694e-06
evenness_h_over_log_hurlbert	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-0.0429120263656	-0.0449815539951	-0.0561149925492	-0.0302632293708	194	1.11007565192e-07	0.133333333333	1000000	20260723	3.33022695575e-07
evenness_h_over_log_observed	Deep-Surface	shallow subsurface minus surface	60	0.00612959174419	0.00885211395116	-0.00746138621225	0.0194312633918	761	0.256925922422	0.633333333333	1000000	20260723	0.256925922422
evenness_h_over_log_observed	Rhizosphere-Surface	root-adjacent minus surface	60	-0.031924742859	-0.0295072570583	-0.0460230411652	-0.0182971459224	308	7.8772581851e-06	0.2	1000000	20260723	1.18158872777e-05
evenness_h_over_log_observed	Rhizosphere-Deep	root-adjacent minus shallow subsurface	60	-0.0380543346032	-0.0437787119344	-0.0527604353529	-0.023402482395	292	4.51216257001e-06	0.183333333333	1000000	20260723	1.18158872777e-05
