profile_id	site	position	extraction_blank	reads_before	reads_after	removed_read_fraction	richness_before	richness_after	richness_change	shannon_before	shannon_after	shannon_change
V10Dr1	V10	Deep	EB2	853897	848205	0.006665909354	3983	3965	-18	6.291773185	6.280098972	-0.0116742131
V10PRr2	V10	Rhizosphere	EB11	615357	433320	0.2958234001	4921	4863	-58	6.286939017	6.964987313	0.6780482957
V11Dr3	V11	Deep	EB9	739633	737509	0.002871694476	5220	5204	-16	7.349755497	7.344440365	-0.005315132116
V11PRr2	V11	Rhizosphere	EB9	778089	771209	0.008842176152	6063	6023	-40	7.051072022	7.036226057	-0.01484596496
V11PRr3	V11	Rhizosphere	EB9	534851	532012	0.005308020365	6465	6444	-21	6.761442902	6.751569808	-0.009873093747
V11Sr2	V11	Surface	EB9	1668156	1665447	0.001623948839	4034	4019	-15	5.555474045	5.548694829	-0.0067792161
V12Dr3	V12	Deep	EB11	568995	568196	0.001404230266	7743	7734	-9	7.558703318	7.556146383	-0.002556934793
V12PRr1	V12	Rhizosphere	EB1	600621	600067	0.0009223786714	5608	5603	-5	6.671969087	6.669750693	-0.002218393837
V12PRr2	V12	Rhizosphere	EB11	416744	416320	0.001017411168	5452	5446	-6	6.664793383	6.661809945	-0.002983437615
V12PRr3	V12	Rhizosphere	EB11	630776	630030	0.001182670235	4736	4733	-3	6.762700874	6.760545582	-0.002155292065
V12Sr1	V12	Surface	EB1	470457	469803	0.001390137675	5268	5262	-6	6.901799213	6.898712087	-0.003087125959
V12Sr3	V12	Surface	EB11	911857	910306	0.001700924597	3908	3900	-8	6.226678702	6.222709855	-0.003968846981
V13PRr1	V13	Rhizosphere	EB2	1227634	1224494	0.002557765588	6496	6478	-18	6.899852068	6.893958734	-0.00589333386
V13PRr2	V13	Rhizosphere	EB9	727940	727274	0.0009149105696	2671	2668	-3	6.245408667	6.243171207	-0.002237460246
V13Sr3	V13	Surface	EB9	702965	696050	0.009836905109	3282	3261	-21	6.641013449	6.625956035	-0.01505741361
V14Dr3	V14	Deep	EB14	873663	843651	0.0343519183	2081	2050	-31	4.812193288	4.753383221	-0.05881006778
V14PRr1	V14	Rhizosphere	EB3	744229	323032	0.5659508028	1273	1228	-45	4.414162729	4.893154575	0.4789918463
V14PRr2	V14	Rhizosphere	EB14	442347	270040	0.3895290349	1715	1669	-46	5.084208726	5.501773615	0.4175648894
V14PRr3	V14	Rhizosphere	EB14	517214	275194	0.4679301024	1313	1267	-46	4.689983433	5.223343185	0.5333597524
V14Sr1	V14	Surface	EB3	589062	571205	0.03031429629	3203	3173	-30	6.166826041	6.143673358	-0.02315268297
V15Dr1	V15	Deep	EB2	808917	806721	0.00271474082	4300	4294	-6	7.278302316	7.275905174	-0.002397142055
V15Dr2	V15	Deep	EB11	993412	990285	0.003147737293	4486	4472	-14	6.979215672	6.973531495	-0.005684176686
V15Dr3	V15	Deep	EB11	861255	857874	0.003925666614	5626	5611	-15	7.271577766	7.266821487	-0.004756278651
V15PRr1	V15	Rhizosphere	EB2	661392	598821	0.09460501488	3275	3254	-21	5.839991172	6.01929853	0.179307358
V15PRr2	V15	Rhizosphere	EB11	853682	807545	0.05404471454	3690	3662	-28	6.360027297	6.426335013	0.06630771656
V15PRr3	V15	Rhizosphere	EB11	500074	465937	0.06826389694	3339	3323	-16	6.118752163	6.248166355	0.1294141921
V15Sr1	V15	Surface	EB2	679119	677850	0.001868597403	5092	5082	-10	6.96141523	6.95745147	-0.003963760573
V15Sr2	V15	Surface	EB11	868439	863065	0.006188114537	7159	7128	-31	7.80878254	7.800833842	-0.007948697674
V16Dr3	V16	Deep	EB11	826731	813349	0.01618664354	3750	3737	-13	6.019337396	6.013938464	-0.00539893191
V16PRr1	V16	Rhizosphere	EB1	691016	676326	0.02125855262	4063	4035	-28	6.467345419	6.448597824	-0.01874759484
V16PRr2	V16	Rhizosphere	EB11	388509	377846	0.02744595363	3214	3193	-21	6.595599673	6.605197114	0.009597441084
V16PRr3	V16	Rhizosphere	EB11	467393	439890	0.05884341443	3886	3865	-21	6.55538683	6.626602049	0.07121521875
V17Dr1	V17	Deep	EB5	617693	616652	0.001685303217	6573	6563	-10	7.231439235	7.22836266	-0.003076574398
V17Dr2	V17	Deep	EB8	739031	735757	0.004430125394	6106	6087	-19	6.874616714	6.866916538	-0.007700176115
V17PRr1	V17	Rhizosphere	EB5	919445	916797	0.00287999826	3367	3353	-14	6.476198942	6.469704561	-0.006494380686
V17PRr2	V17	Rhizosphere	EB8	671805	664534	0.0108230811	2781	2775	-6	6.210533031	6.216325918	0.005792886095
V17PRr3	V17	Rhizosphere	EB8	567532	559477	0.01419303229	3733	3727	-6	6.554508857	6.570392962	0.01588410465
V18PRr2	V18	Rhizosphere	EB7	688527	686547	0.002875704221	3878	3870	-8	6.013118873	6.00538089	-0.007737982868
V18PRr3	V18	Rhizosphere	EB7	490978	490075	0.001839186277	3700	3694	-6	5.981320414	5.977636272	-0.003684142444
V19Dr2	V19	Deep	EB7	4341054	4328529	0.002885243998	16563	16539	-24	7.645085143	7.641277381	-0.003807762248
V19Dr3	V19	Deep	EB7	691081	687932	0.004556629397	6232	6216	-16	7.507018438	7.503210731	-0.003807707207
V19PRr1	V19	Rhizosphere	EB2	907515	906808	0.000779050484	3922	3909	-13	6.031009358	6.027604282	-0.003405076246
V19PRr2	V19	Rhizosphere	EB7	452234	452159	0.0001658433466	3492	3490	-2	5.970026012	5.969292342	-0.0007336705536
V19PRr3	V19	Rhizosphere	EB7	480790	480534	0.0005324569979	3148	3144	-4	5.832763844	5.830631986	-0.002131857382
V19Sr3	V19	Surface	EB7	1116547	1109733	0.006102743548	4444	4429	-15	7.008983927	7.001917433	-0.007066493526
V1Dr1	V1	Deep	EB6	149046	149001	0.0003019202126	603	600	-3	3.82114852	3.819228129	-0.001920390084
V1Dr3	V1	Deep	EB7	625355	622017	0.005337768148	2992	2978	-14	6.024926365	6.012931436	-0.01199492857
V1PRr1	V1	Rhizosphere	EB5	535684	533717	0.00367194092	2899	2887	-12	5.38025114	5.368417315	-0.01183382473
V1PRr2	V1	Rhizosphere	EB7	397005	396570	0.001095704084	1881	1875	-6	4.288119573	4.282667361	-0.005452212368
V1PRr3	V1	Rhizosphere	EB7	742979	742666	0.0004212770482	1729	1724	-5	4.147337696	4.144776201	-0.002561494688
V20PRr1	V20	Rhizosphere	EB5	2217058	2206850	0.004604299933	8570	8533	-37	6.572357314	6.558349512	-0.01400780158
V20PRr2	V20	Rhizosphere	EB14	602263	600721	0.002560343239	3397	3385	-12	6.069268988	6.061610018	-0.00765896967
V20PRr3	V20	Rhizosphere	EB14	1256846	1255763	0.0008616807469	4638	4622	-16	6.347835002	6.3445748	-0.003260201843
V20Sr2	V20	Surface	EB14	668287	665008	0.004906574571	2632	2622	-10	6.229044501	6.218785603	-0.01025889808
V21Dr1	V21	Deep	EB3	399410	394228	0.01297413685	3401	3390	-11	7.091804668	7.103422504	0.01161783639
V21Dr2	V21	Deep	EB12	387092	386593	0.001289099232	5218	5211	-7	6.735789283	6.732905275	-0.002884008216
V21PRr1	V21	Rhizosphere	EB3	367389	364127	0.008878872258	4684	4668	-16	6.916070306	6.907970062	-0.008100243771
V21PRr2	V21	Rhizosphere	EB12	750436	744661	0.007695526334	8347	8330	-17	6.931630603	6.922906598	-0.008724005632
V21PRr3	V21	Rhizosphere	EB12	499748	496185	0.007129593315	5406	5390	-16	6.429084787	6.419555686	-0.009529100745
V21Sr3	V21	Surface	EB12	1112675	1104702	0.007165614398	6365	6347	-18	7.468726535	7.465900699	-0.002825836059
V22PRr2	V22	Rhizosphere	EB9	630179	627961	0.003519634897	4294	4276	-18	6.723417816	6.71478493	-0.008632886658
V23Dr1	V23	Deep	EB1	709739	703098	0.009356960798	6417	6400	-17	7.262563225	7.263416369	0.0008531441208
V23PRr1	V23	Rhizosphere	EB1	605279	601349	0.006492873534	8026	8005	-21	7.606338929	7.604175627	-0.002163302618
V23PRr2	V23	Rhizosphere	EB12	493078	490051	0.006138988152	8142	8129	-13	7.658585586	7.658893665	0.0003080791388
V24Dr1	V24	Deep	EB2	433988	433766	0.0005115348811	3919	3914	-5	5.952291513	5.950213872	-0.002077641128
V24PRr1	V24	Rhizosphere	EB2	551729	547995	0.006767815359	7475	7464	-11	7.537633021	7.537088557	-0.0005444641063
V24PRr3	V24	Rhizosphere	EB14	377824	376945	0.002326480054	3450	3443	-7	7.088814157	7.085818361	-0.00299579548
V25Dr3	V25	Deep	EB10	409452	409246	0.0005031114758	4447	4443	-4	7.006453151	7.005007846	-0.001445305774
V25PRr1	V25	Rhizosphere	EB1	565561	565473	0.0001555977162	3054	3053	-1	5.889912845	5.889309305	-0.0006035401264
V25PRr2	V25	Rhizosphere	EB10	500897	500796	0.000201638261	3182	3180	-2	5.79839068	5.79756491	-0.0008257695936
V25PRr3	V25	Rhizosphere	EB10	540459	540011	0.0008289250433	2983	2970	-13	5.920817633	5.917155493	-0.003662140193
V25Sr2	V25	Surface	EB10	864456	863243	0.00140319461	5019	5012	-7	6.740916826	6.737516808	-0.003400018278
V25Sr3	V25	Surface	EB10	838440	837324	0.001331043366	4747	4737	-10	6.871474225	6.868195831	-0.003278393691
V26Dr2	V26	Deep	EB14	227594	226535	0.004653022487	2654	2646	-8	6.98349887	6.978814808	-0.004684061704
V26Dr3	V26	Deep	EB14	599509	597337	0.003622964793	3642	3633	-9	6.861451757	6.855923493	-0.005528263516
V26PRr1	V26	Rhizosphere	EB5	524183	521869	0.004414488833	4030	4018	-12	7.106294448	7.101421512	-0.004872936389
V26PRr2	V26	Rhizosphere	EB14	804585	800917	0.004558871965	4921	4912	-9	7.260402418	7.257338798	-0.003063620586
V26Sr2	V26	Surface	EB14	676130	674420	0.002529099434	4464	4455	-9	7.087114901	7.083839811	-0.003275089596
V27Dr2	V27	Deep	EB15	690327	679475	0.01572008628	5967	5943	-24	7.058049366	7.060524513	0.002475147325
V27Dr3	V27	Deep	EB16	759591	747858	0.01544647053	6514	6496	-18	7.08641063	7.090194029	0.003783398418
V27PRr1	V27	Rhizosphere	EB2	415925	415136	0.001896976618	2343	2339	-4	5.667194527	5.66215764	-0.005036886793
V27PRr2	V27	Rhizosphere	EB15	555336	553780	0.002801907314	2818	2808	-10	6.052669512	6.045218895	-0.007450616616
V27PRr3	V27	Rhizosphere	EB15	545853	544514	0.002453041387	2251	2243	-8	5.602218531	5.595346847	-0.00687168341
V28Dr1	V28	Deep	EB6	892760	885010	0.008680944487	5487	5467	-20	7.295210416	7.293372625	-0.001837790716
V28Dr3	V28	Deep	EB8	419697	417311	0.005685053741	3149	3139	-10	7.023551293	7.018821252	-0.004730041133
V28PRr1	V28	Rhizosphere	EB2	716456	714917	0.002148073294	4661	4644	-17	4.191742074	4.180996883	-0.0107451912
V28PRr2	V28	Rhizosphere	EB8	701711	697139	0.006515502821	5162	5145	-17	5.217727957	5.203554734	-0.01417322307
V28PRr3	V28	Rhizosphere	EB8	528041	523869	0.007900901635	4405	4384	-21	6.131039131	6.117575926	-0.01346320459
V29PRr2	V29	Rhizosphere	EB8	829930	823586	0.00764401817	4259	4245	-14	7.030770709	7.030510072	-0.0002606368687
V29PRr3	V29	Rhizosphere	EB8	890128	882811	0.008220166088	3444	3433	-11	6.838496501	6.83738156	-0.001114940185
V2Dr1	V2	Deep	EB2	438638	374147	0.1470255655	3855	3826	-29	6.072831961	6.379683979	0.3068520176
V2Dr2	V2	Deep	EB7	599571	596181	0.00565404264	5567	5538	-29	6.617176275	6.602478844	-0.01469743151
V2PRr1	V2	Rhizosphere	EB2	684082	682544	0.002248268482	5749	5732	-17	6.797368898	6.791059901	-0.006308997057
V2PRr2	V2	Rhizosphere	EB7	255464	254429	0.004051451477	3397	3384	-13	6.904150577	6.896108596	-0.008041981345
V2PRr3	V2	Rhizosphere	EB16	627102	625310	0.002857589355	6111	6091	-20	7.0891511	7.082250766	-0.006900333475
V2Sr1	V2	Surface	EB2	691496	690580	0.001324664206	4686	4672	-14	6.794634796	6.790467007	-0.004167789673
V2Sr2	V2	Surface	EB7	435506	435346	0.0003673887386	4617	4612	-5	6.763256524	6.761995281	-0.001261243856
V30PRr1	V30	Rhizosphere	EB3	384827	384200	0.001629303557	3440	3436	-4	6.209465373	6.206154869	-0.003310503959
V30PRr2	V30	Rhizosphere	EB12	316791	315586	0.003803769678	3191	3186	-5	6.235606352	6.229894775	-0.005711577137
V30PRr3	V30	Rhizosphere	EB12	625055	622911	0.003430098151	2992	2981	-11	5.36677973	5.357583951	-0.009195778544
V30Sr2	V30	Surface	EB12	955117	944579	0.01103320326	4326	4312	-14	7.191496779	7.196984628	0.005487848346
V31Dr1	V31	Deep	EB2	816505	804981	0.01411381437	3021	3000	-21	6.375766106	6.364375003	-0.0113911031
V31Dr3	V31	Deep	EB12	721172	710906	0.01423516165	3445	3427	-18	7.092727691	7.091845253	-0.0008824379298
V32PRr1	V32	Rhizosphere	EB3	783652	777023	0.008459111953	3503	3488	-15	6.488591686	6.483085634	-0.005506052216
V32PRr2	V32	Rhizosphere	EB15	514694	511026	0.007126564522	4919	4897	-22	6.866732345	6.85905984	-0.007672505222
V32PRr3	V32	Rhizosphere	EB15	760983	736161	0.03261833707	9378	9307	-71	7.629687231	7.629396179	-0.0002910527376
