analysis	omitted_campaign	taxon_count	trend_degree	n_sites	n_groups	partial_r2	partial_r2_jackknife_se	partial_r2_ci_low	partial_r2_ci_high	pseudo_f	permutation_p	residual_moran_i	residual_moran_p
primary		80	1	60	630	0.3068322331	0.04046493619	0.2258620828	0.3878023834	25.67382727	0.001	0.245884591	0.001
primary		80	2	60	630	0.4419475722	0.04348366094	0.3549369676	0.5289581768	22.57047041	0.001	0.04734033226	0.007
primary		200	1	60	630	0.2530854298	0.03415263246	0.1847461701	0.3214246895	19.65278964	0.001	0.2490987436	0.001
primary		200	2	60	630	0.3979353966	0.03810890245	0.3216796589	0.4741911342	18.83711272	0.001	0.06523130543	0.001
primary		383	1	60	630	0.23638441	0.0328586382	0.1706344268	0.3021343931	17.95444718	0.001	0.2491637277	0.001
primary		383	2	60	630	0.388790658	0.03773479284	0.313283512	0.4642978041	18.12886845	0.001	0.06108896765	0.001
leave_one_campaign_out	1	200	2	60	471	0.3531005297	0.03601410762	0.2810364668	0.4251645926	15.55630443	0.001	0.06091064668	0.001
leave_one_campaign_out	2	200	2	60	614	0.4062858762	0.03729627197	0.3316562084	0.480915544	19.50290048	0.001	0.06181370797	0.001
leave_one_campaign_out	3	200	2	60	461	0.3612757999	0.03933823297	0.2825601776	0.4399914223	16.12019757	0.001	0.05489221822	0.001
leave_one_campaign_out	4	200	2	60	454	0.3340467618	0.03810009588	0.257808646	0.4102848775	14.29579761	0.001	0.01767766917	0.027
leave_one_campaign_out	5	200	2	60	520	0.3836709116	0.03728474479	0.3090643096	0.4582775136	17.74152995	0.001	0.06824536668	0.001
