screen	prevalence_score_threshold	minimum_blank_prevalence_count	called_features	control_reads_in_called_features	biological_reads_in_called_features
Trip5	0.01	1	221	545995	2233717
Trip5	0.01	2	221	545995	2233717
Trip5	0.01	3	112	500269	2233717
Trip5	0.05	1	300	640518	2945593
Trip5	0.05	2	300	640518	2945593
Trip5	0.05	3	151	579074	2929368
Trip5	0.1	1	12051	3030062	3213225
Trip5	0.1	2	351	695882	3213225
Trip5	0.1	3	175	623119	3151337
Trip4	0.01	1	4	10070	25001
Trip4	0.01	2	4	10070	25001
Trip4	0.01	3	1	4725	18774
Trip4	0.05	1	5	12225	31018
Trip4	0.05	2	5	12225	31018
Trip4	0.05	3	2	6880	24791
Trip4	0.1	1	57	30738	52353
Trip4	0.1	2	7	15967	52353
Trip4	0.1	3	3	9779	42429
