genus	surface	shallow_subsurface	root_adjacent	phylum
Acidiferrimicrobium	1	0.9833333333	1	Actinomycetota
Adhaeribacter	0.9833333333	0.9666666667	1	Bacteroidota
Ammoniphilus	1	1	1	Bacillota
Arthrobacter	0.95	0.9666666667	1	Actinomycetota
Bacillus	1	1	1	Bacillota
Devosia	0.9333333333	0.9333333333	1	Pseudomonadota
Domibacillus	1	1	1	Bacillota
Flavisolibacter	0.9833333333	0.9833333333	1	Bacteroidota
Geodermatophilus	0.9833333333	0.9833333333	1	Actinomycetota
Lysinibacillus	1	0.9833333333	1	Bacillota
Massilia	1	0.9833333333	1	Pseudomonadota
Metabacillus	1	1	1	Bacillota
Microvirga	1	1	1	Pseudomonadota
Neobacillus	1	1	1	Bacillota
Nibribacter	1	0.9666666667	1	Bacteroidota
Nocardioides	1	1	1	Actinomycetota
Noviherbaspirillum	1	0.9833333333	1	Pseudomonadota
Paenibacillus	1	1	1	Bacillota
Peredibacter	0.9666666667	0.9666666667	1	Bdellovibrionota
Planococcus	0.9833333333	0.9333333333	1	Bacillota
Pontibacter	0.9666666667	0.9666666667	1	Bacteroidota
Pseudomonas	0.9333333333	0.9333333333	1	Pseudomonadota
Ramlibacter	0.9833333333	0.9833333333	1	Pseudomonadota
Rubellimicrobium	0.9833333333	0.9833333333	1	Pseudomonadota
Sphingoaurantiacus	0.9666666667	0.9333333333	1	Pseudomonadota
Streptomyces	0.9833333333	0.95	1	Actinomycetota
Azospirillum	0.9333333333	0.9666666667	0.9833333333	Pseudomonadota
Chelativorans	0.9166666667	0.95	0.9833333333	Pseudomonadota
Cytophaga	0.95	0.95	0.9833333333	Bacteroidota
Ellin6055	0.9666666667	0.9333333333	0.9833333333	Pseudomonadota
Herpetosiphon	0.95	0.9666666667	0.9833333333	Chloroflexota
Nitrolancea	0.9333333333	0.9333333333	0.9833333333	Chloroflexota
OM27 clade	0.9333333333	0.9666666667	0.9833333333	Bdellovibrionota
Pir4 lineage	0.9	0.95	0.9833333333	Planctomycetota
Roseicella	0.9166666667	0.9166666667	0.9833333333	Pseudomonadota
Roseomonas	0.95	0.9666666667	0.9833333333	Pseudomonadota
Solirubrobacter	0.9666666667	0.9333333333	0.9833333333	Actinomycetota
Telluribacter	0.9166666667	0.9	0.9833333333	Bacteroidota
Tumebacillus	0.9666666667	0.9333333333	0.9833333333	Bacillota
Actinomadura	0.8666666667	0.85	0.9666666667	Actinomycetota
Archangium	0.95	0.9333333333	0.9666666667	Myxococcota
Chthoniobacter	0.9166666667	0.9166666667	0.9666666667	Verrucomicrobiota
Croceibacterium	0.9166666667	0.9333333333	0.9666666667	Pseudomonadota
Ectobacillus	0.9833333333	0.9666666667	0.9666666667	Bacillota
Phenylobacterium	0.9666666667	0.95	0.9666666667	Pseudomonadota
Pseudonocardia	0.95	0.9666666667	0.9666666667	Actinomycetota
Rubrobacter	0.95	0.95	0.9666666667	Actinomycetota
Segetibacter	0.9333333333	0.8833333333	0.9666666667	Bacteroidota
Symbiobacterium	0.9666666667	0.95	0.9666666667	Bacillota
Terribacillus	0.8666666667	0.8666666667	0.9666666667	Bacillota
Arcticibacter	0.9	0.8333333333	0.95	Bacteroidota
Cellulomonas	0.9166666667	0.8833333333	0.95	Actinomycetota
Cnuella	0.9333333333	0.8833333333	0.95	Bacteroidota
DSSF69	0.8166666667	0.8333333333	0.95	Pseudomonadota
Deinococcus	1	0.9833333333	0.95	Deinococcota
Gemmatimonas	0.9	0.95	0.95	Gemmatimonadota
Lysobacter	0.95	0.95	0.95	Pseudomonadota
Mesobacillus	0.8166666667	0.8333333333	0.95	Bacillota
Methylobacillus	0.8333333333	0.8833333333	0.95	Pseudomonadota
Mycobacterium	0.9166666667	0.9	0.95	Actinomycetota
Novosphingobium	0.8833333333	0.85	0.95	Pseudomonadota
Pirellula	0.9166666667	0.9333333333	0.95	Planctomycetota
Steroidobacter	0.9333333333	0.9	0.95	Pseudomonadota
Isoptericola	0.85	0.8833333333	0.95	Actinomycetota
Baekduia	0.9333333333	0.8833333333	0.9333333333	Actinomycetota
Blastococcus	0.9666666667	0.9333333333	0.9333333333	Actinomycetota
Kocuria	0.9333333333	0.9	0.9333333333	Actinomycetota
SM1A02	0.8166666667	0.8833333333	0.9333333333	Planctomycetota
Sandaracinus	0.8333333333	0.95	0.9333333333	Myxococcota
Brevundimonas	0.85	0.8666666667	0.9166666667	Pseudomonadota
Candidatus Alysiosphaera	0.9	0.9333333333	0.9166666667	Pseudomonadota
Daejeonella	0.8666666667	0.8666666667	0.9166666667	Bacteroidota
Opitutus	0.85	0.9166666667	0.9166666667	Verrucomicrobiota
Pajaroellobacter	0.9	0.8666666667	0.9166666667	Myxococcota
Parviterribacter	0.9	0.9	0.9166666667	Actinomycetota
Roseisolibacter	0.9166666667	0.8666666667	0.9166666667	Gemmatimonadota
Saccharopolyspora	0.8833333333	0.8833333333	0.9166666667	Actinomycetota
Sphingomonas	1	0.9166666667	0.9166666667	Pseudomonadota
[Polyangium] brachysporum group	0.8833333333	0.85	0.9166666667	Pseudomonadota
CSP1-2	0.9	0.8333333333	0.9166666667	Dadabacteria
Arsenicitalea	0.7833333333	0.8833333333	0.9	Pseudomonadota
Gemmata	0.9	0.85	0.9	Planctomycetota
Niallia	0.8666666667	0.8333333333	0.9	Bacillota
Rufibacter	0.8	0.75	0.9	Bacteroidota
Sumerlaea	0.9	0.95	0.9	Sumerlaeota
Aeromicrobium	0.8166666667	0.8333333333	0.8833333333	Actinomycetota
Aeromonas	0.3666666667	0.6666666667	0.8833333333	Pseudomonadota
Anaeromyxobacter	0.8833333333	0.9	0.8833333333	Myxococcota
Herbaspirillum	0.9333333333	0.8666666667	0.8833333333	Pseudomonadota
Lautropia	0.9166666667	0.9	0.8833333333	Pseudomonadota
Marmoricola	0.8833333333	0.9166666667	0.8833333333	Actinomycetota
Saccharibacillus	0.8	0.6166666667	0.8833333333	Bacillota
Sporocytophaga	0.8666666667	0.9	0.8833333333	Bacteroidota
Verrucosispora	0.8333333333	0.8833333333	0.8833333333	Actinomycetota
Acidibacter	0.9	0.9	0.8666666667	Pseudomonadota
Brevibacillus	0.9	0.85	0.8666666667	Bacillota
Bryobacter	0.8833333333	0.8833333333	0.8666666667	Acidobacteriota
Fontimonas	0.5333333333	0.6333333333	0.8666666667	Pseudomonadota
Gaiella	0.9	0.8833333333	0.8666666667	Actinomycetota
Pedomicrobium	0.9	0.8333333333	0.8666666667	Pseudomonadota
Rhodocista	0.8	0.8	0.8666666667	Pseudomonadota
TM7a	0.7333333333	0.7666666667	0.8666666667	Patescibacteria
Vallicoccus	0.9333333333	0.9	0.8666666667	Actinomycetota
Amycolatopsis	0.5833333333	0.65	0.85	Actinomycetota
Dongia	0.8666666667	0.8166666667	0.85	Pseudomonadota
Georgenia	0.7833333333	0.6666666667	0.85	Actinomycetota
Kineococcus	0.9166666667	0.7833333333	0.85	Actinomycetota
Neorhizobium	0.75	0.7333333333	0.85	Pseudomonadota
Oxalophagus	0.8666666667	0.85	0.85	Bacillota
Pelagibacterium	0.6	0.5333333333	0.85	Pseudomonadota
Prauserella	0.7666666667	0.7833333333	0.85	Actinomycetota
Sandaracinobacter	0.6833333333	0.7166666667	0.85	Pseudomonadota
Azohydromonas	0.8166666667	0.7833333333	0.8333333333	Pseudomonadota
Caenimonas	0.85	0.75	0.8333333333	Pseudomonadota
Conexibacter	0.9166666667	0.8833333333	0.8333333333	Actinomycetota
JCM 18997	0.7833333333	0.8666666667	0.8333333333	Actinomycetota
Nannocystis	0.7333333333	0.7666666667	0.8333333333	Myxococcota
Nitrospira	0.9166666667	0.8833333333	0.8333333333	Nitrospirota
Tepidisphaera	0.6333333333	0.6	0.8333333333	Planctomycetota
Abditibacterium	0.7166666667	0.8166666667	0.8166666667	Abditibacteriota
Actinophytocola	0.8666666667	0.8	0.8166666667	Actinomycetota
Bauldia	0.6833333333	0.7333333333	0.8166666667	Pseudomonadota
Ensifer	0.5833333333	0.6666666667	0.8166666667	Pseudomonadota
Ohtaekwangia	0.6833333333	0.7333333333	0.8166666667	Bacteroidota
Pseudaminobacter	0.5333333333	0.65	0.8166666667	Pseudomonadota
Rhodoplanes	0.7833333333	0.85	0.8166666667	Pseudomonadota
SH-PL14	0.6833333333	0.7333333333	0.8166666667	Planctomycetota
Tautonia	0.7	0.8	0.8166666667	Planctomycetota
Aquihabitans	0.5166666667	0.8	0.8	Actinomycetota
Cupriavidus	0.65	0.65	0.8	Pseudomonadota
Luteitalea	0.8166666667	0.8333333333	0.8	Acidobacteriota
MND1	0.9	0.9166666667	0.8	Pseudomonadota
Pantoea	0.6666666667	0.5333333333	0.8	Pseudomonadota
Phaselicystis	0.8666666667	0.85	0.8	Myxococcota
Aureibacillus	0.75	0.8166666667	0.7833333333	Bacillota
Cystobacter	0.9	0.8166666667	0.7833333333	Myxococcota
Fimbriiglobus	0.8	0.8666666667	0.7833333333	Planctomycetota
