genus	phylum	spearman_rho_dune_sites	p_value	spearman_rho_all_sites	supported_all_sites	q_bh_200	supported_dune_sites	same_sign
Blastocatella	Acidobacteriota	-0.7747709655	6.750034692e-10	-0.7648791331	True	3.375017346e-08	True	True
Cellulomonas	Actinomycetota	-0.7040169133	9.73107043e-08	-0.7922756321	True	2.432767608e-06	True	True
Paraconexibacter	Actinomycetota	-0.7019027484	1.103947322e-07	-0.6655181995	True	2.453216272e-06	True	True
Limnobacter	Pseudomonadota	-0.6644115574	8.749517938e-07	-0.6864684635	True	1.45825299e-05	True	True
Streptomyces	Actinomycetota	-0.6460887949	2.17207099e-06	-0.6052236732	True	2.896094653e-05	True	True
Actinoplanes	Actinomycetota	-0.6093023256	1.136422693e-05	-0.6260627952	True	0.0001420528367	True	True
Actinophytocola	Actinomycetota	-0.5957716702	1.984975773e-05	-0.5353709364	True	0.0002089448183	True	True
Steroidobacter	Pseudomonadota	-0.5877378436	2.731849063e-05	-0.6914142817	True	0.0002731849063	True	True
PMMR1	Pseudomonadota	-0.5798449612	3.708344923e-05	-0.4818005001	True	0.0003371222657	True	True
Aridibacter	Acidobacteriota	-0.5718111346	5.021041145e-05	-0.6854126146	True	0.0004366122735	True	True
Saccharothrix	Actinomycetota	-0.5541930937	9.499872114e-05	-0.4597388163	True	0.0007916560095	True	True
Rhodocytophaga	Bacteroidota	-0.5471458774	0.0001213925067	-0.4656293415	True	0.0009711400535	True	True
Mycobacterium	Actinomycetota	-0.5458773784	0.0001267960931	-0.5195887747	True	0.000975354562	True	True
Ellin6055	Pseudomonadota	-0.5398167724	0.0001557524634	-0.6995276466	True	0.001112517596	True	True
Caenimonas	Pseudomonadota	-0.5315010571	0.0002052426806	-0.572381217	True	0.001368284538	True	True
Caldilinea	Chloroflexota	-0.5288231149	0.0002239749777	-0.4432898027	True	0.001399843611	True	True
Gemmatimonas	Gemmatimonadota	-0.5260042283	0.000245350794	-0.6612948041	True	0.001486974509	True	True
Pirellula	Planctomycetota	-0.5144467935	0.0003536134805	-0.6300639066	True	0.002080079297	True	True
Blastococcus	Actinomycetota	-0.5114869626	0.0003875067357	-0.6231731036	True	0.002214324204	True	True
Roseisolibacter	Gemmatimonadota	-0.5086680761	0.0004224759422	-0.6954153932	True	0.002347088568	True	True
Luteitalea	Acidobacteriota	-0.49739253	0.0005925081995	-0.5842734093	True	0.003144478652	True	True
Pseudonocardia	Actinomycetota	-0.4971106413	0.000597450944	-0.6226173937	True	0.003144478652	True	True
Gaiella	Actinomycetota	-0.4947145877	0.0006409801002	-0.5651014171	True	0.003204900501	True	True
Mangrovihabitans	Actinomycetota	-0.4935870331	0.0006624307794	-0.4591831064	True	0.003231369655	True	True
Solirubrobacter	Actinomycetota	-0.4916138125	0.0007015211971	-0.6424006669	True	0.003340577129	True	True
Sphingomonas	Pseudomonadota	-0.4890768147	0.0007548087991	-0.6657404835	True	0.003510738601	True	True
Abditibacterium	Abditibacteriota	-0.4656800564	0.001444947064	-0.6145595999	True	0.006020612768	True	True
Rubritepida	Pseudomonadota	-0.4563777308	0.001847472187	-0.6072797999	True	0.007389888748	True	True
Gemmata	Planctomycetota	-0.4552501762	0.001902450759	-0.6237288136	True	0.007460591212	True	True
Parviterribacter	Actinomycetota	-0.4467935166	0.002363051152	-0.6213392609	True	0.009088658277	True	True
Marmoricola	Actinomycetota	-0.4436927414	0.00255509265	-0.7049180328	True	0.009641859055	True	True
Dongia	Pseudomonadota	-0.4114164905	0.00552863243	-0.4456237844	True	0.01939871028	True	True
Nitrospira	Nitrospirota	-0.3836504581	0.01014652251	-0.4646846346	True	0.03273071776	True	True
Nonomuraea	Actinomycetota	-0.3826638478	0.01035838363	-0.3590441789	True	0.03288375757	True	True
Bryobacter	Acidobacteriota	-0.3806906272	0.01079350492	-0.6313976104	True	0.03372970286	True	True
Kallotenue	Chloroflexota	-0.3695560254	0.01355356742	-0.3981105863	True	0.04170328438	True	True
Sumerlaea	Sumerlaeota	-0.3682875264	0.01390312058	-0.4631286468	True	0.04213066843	True	True
Rufibacter	Bacteroidota	-0.3595489782	0.01652583138	-0.482522923	True	0.04790096054	True	True
Massilia	Pseudomonadota	-0.35602537	0.01769594543	-0.3987774382	True	0.04984773361	True	True
Geodermatophilus	Actinomycetota	-0.3485553206	0.02040933295	-0.5626007224	True	0.05621428686	False	True
Nordella	Pseudomonadota	-0.3436222692	0.02238643339	-0.2102806335	False	0.06050387403	False	True
Baekduia	Actinomycetota	-0.3423537703	0.02291999416	-0.5413170325	True	0.06111998442	False	True
Sporocytophaga	Bacteroidota	-0.340098661	0.02389482886	-0.365323701	True	0.06288112857	False	True
Adhaeribacter	Bacteroidota	-0.3371388302	0.02522666417	-0.5664906919	True	0.06485025269	False	True
Rubrobacter	Actinomycetota	-0.3369978858	0.02529159855	-0.5340928036	True	0.06485025269	False	True
Deinococcus	Deinococcota	-0.3315010571	0.02793495847	-0.4520144485	True	0.07072141385	False	True
Arthrobacter	Actinomycetota	-0.3278365046	0.02982164088	-0.3798277299	True	0.0745541022	False	True
Conexibacter	Actinomycetota	-0.3096546864	0.040809198	-0.5286468463	True	0.09624890155	False	True
Nitrosomonas	Pseudomonadota	-0.2976744186	0.04971064745	-0.01783828841	False	0.1142718329	False	True
Aeromicrobium	Actinomycetota	-0.296969697	0.05027960648	-0.289802723	True	0.1142718329	False	True
Modestobacter	Actinomycetota	-0.2862579281	0.05959338878	-0.420450125	True	0.1324297528	False	True
MND1	Pseudomonadota	-0.2824524313	0.06321641455	-0.3246457349	True	0.1374269881	False	True
Plantactinospora	Actinomycetota	-0.281042988	0.06460196522	-0.04006668519	False	0.1389289575	False	True
Novosphingobium	Pseudomonadota	-0.2783650458	0.06730097287	-0.4477354821	True	0.1431935593	False	True
JCM 18997	Actinomycetota	-0.2724453841	0.07358448924	-0.2305084746	False	0.1549147142	False	True
Verrucosispora	Actinomycetota	-0.2641296688	0.08318176726	-0.3594887469	True	0.1687342232	False	True
