genus	phylum	n_sites	spearman_rho_elemental_axis	p_value	q_bh_200	supported_q_lt_0_05
Steroidobacter	Pseudomonadota	60	-0.7109752709	1.953711918e-10	5.441206914e-09	True
Caldilinea	Chloroflexota	60	-0.669019172	5.129175739e-09	9.325774071e-08	True
Phenylobacterium	Pseudomonadota	60	-0.6511808836	1.765062459e-08	2.715480706e-07	True
Paraconexibacter	Actinomycetota	60	-0.6476243401	2.236528618e-08	3.037310388e-07	True
Streptomyces	Actinomycetota	60	-0.6461794943	2.460147286e-08	3.075184107e-07	True
Roseisolibacter	Gemmatimonadota	60	-0.6311753265	6.429336607e-08	7.143707341e-07	True
Gemmatimonas	Gemmatimonadota	60	-0.6302306196	6.818516333e-08	7.177385614e-07	True
Pirellula	Planctomycetota	60	-0.5799944429	1.194112907e-06	8.905360168e-06	True
Blastocatella	Acidobacteriota	60	-0.5788274521	1.269066298e-06	8.905360168e-06	True
Dongia	Pseudomonadota	60	-0.5784940261	1.291277224e-06	8.905360168e-06	True
Caenimonas	Pseudomonadota	60	-0.5776048902	1.352298627e-06	9.015324179e-06	True
Solirubrobacter	Actinomycetota	60	-0.5704362323	1.952606299e-06	1.200159465e-05	True
Pseudonocardia	Actinomycetota	60	-0.5694915254	2.048141061e-06	1.204788859e-05	True
Actinophytocola	Actinomycetota	60	-0.558877466	3.468003135e-06	1.981716077e-05	True
Cellulomonas	Actinomycetota	60	-0.5511530981	5.030750555e-06	2.79486142e-05	True
Luteitalea	Acidobacteriota	60	-0.5426507363	7.496575227e-06	4.052202826e-05	True
Gaiella	Actinomycetota	60	-0.5343150875	1.096921105e-05	5.773268976e-05	True
Parviterribacter	Actinomycetota	60	-0.5293136982	1.371753264e-05	7.034632124e-05	True
Aridibacter	Acidobacteriota	60	-0.5201444846	2.048077606e-05	0.0001024038803	True
Limnobacter	Pseudomonadota	60	-0.5150319533	2.548236992e-05	0.0001243042435	True
Conexibacter	Actinomycetota	60	-0.5113642679	2.974284715e-05	0.0001416326055	True
Ellin6055	Pseudomonadota	60	-0.5046957488	3.921942985e-05	0.0001782701357	True
Sphingomonas	Pseudomonadota	60	-0.5008057794	4.596459971e-05	0.0002042871098	True
Gemmata	Planctomycetota	60	-0.4957488191	5.633554838e-05	0.0002397257378	True
Baekduia	Actinomycetota	60	-0.48291192	9.309902719e-05	0.0003731907163	True
Marmoricola	Actinomycetota	60	-0.482856349	9.329767907e-05	0.0003731907163	True
Phaselicystis	Myxococcota	60	-0.4790219505	0.0001079845264	0.0004234687312	True
Noviherbaspirillum	Pseudomonadota	60	-0.4740205613	0.0001303328674	0.0005012802594	True
