stratum	rank_in_stratum	genus	phylum	mean_relative_abundance
all_core_profiles	1	Domibacillus	Bacillota	0.06220266255
all_core_profiles	2	Massilia	Pseudomonadota	0.03548144245
all_core_profiles	3	Bacillus	Bacillota	0.02972200496
all_core_profiles	4	Microvirga	Pseudomonadota	0.02408208604
all_core_profiles	5	Flavisolibacter	Bacteroidota	0.02048643799
all_core_profiles	6	Noviherbaspirillum	Pseudomonadota	0.01920295398
all_core_profiles	7	Streptomyces	Actinomycetota	0.01802914941
all_core_profiles	8	Herpetosiphon	Chloroflexota	0.01516060777
all_core_profiles	9	Paenibacillus	Bacillota	0.01375262139
all_core_profiles	10	Lysinibacillus	Bacillota	0.0132477365
surface	1	Domibacillus	Bacillota	0.06137686563
surface	2	Massilia	Pseudomonadota	0.04850198129
surface	3	Bacillus	Bacillota	0.03816812092
surface	4	Flavisolibacter	Bacteroidota	0.02876954364
surface	5	Noviherbaspirillum	Pseudomonadota	0.02622847091
surface	6	Microvirga	Pseudomonadota	0.02539973456
surface	7	Deinococcus	Deinococcota	0.01832735948
surface	8	Herpetosiphon	Chloroflexota	0.01680349618
surface	9	Streptomyces	Actinomycetota	0.01432727551
surface	10	Planococcus	Bacillota	0.01322789769
shallow_subsurface	1	Domibacillus	Bacillota	0.04092129517
shallow_subsurface	2	Bacillus	Bacillota	0.02638723745
shallow_subsurface	3	Massilia	Pseudomonadota	0.02141898108
shallow_subsurface	4	Microvirga	Pseudomonadota	0.02106375975
shallow_subsurface	5	Herpetosiphon	Chloroflexota	0.0206533136
shallow_subsurface	6	Flavisolibacter	Bacteroidota	0.02002264358
shallow_subsurface	7	Streptomyces	Actinomycetota	0.01910140878
shallow_subsurface	8	Noviherbaspirillum	Pseudomonadota	0.01762583381
shallow_subsurface	9	Ammoniphilus	Bacillota	0.01462877097
shallow_subsurface	10	Rubrobacter	Actinomycetota	0.01376323176
root_adjacent	1	Domibacillus	Bacillota	0.07995666556
root_adjacent	2	Massilia	Pseudomonadota	0.03656616258
root_adjacent	3	Bacillus	Bacillota	0.02577388531
root_adjacent	4	Microvirga	Pseudomonadota	0.02547410517
root_adjacent	5	Lysinibacillus	Bacillota	0.02358400925
root_adjacent	6	Streptomyces	Actinomycetota	0.02007253817
root_adjacent	7	Paenibacillus	Bacillota	0.01671152764
root_adjacent	8	Noviherbaspirillum	Pseudomonadota	0.01495694234
root_adjacent	9	Nibribacter	Bacteroidota	0.01463497576
root_adjacent	10	Flavisolibacter	Bacteroidota	0.01435856958
west_third	1	Domibacillus	Bacillota	0.07087730707
west_third	2	Massilia	Pseudomonadota	0.03687854184
west_third	3	Microvirga	Pseudomonadota	0.03321551771
west_third	4	Streptomyces	Actinomycetota	0.02604732331
west_third	5	Flavisolibacter	Bacteroidota	0.02492088676
west_third	6	Noviherbaspirillum	Pseudomonadota	0.02224603949
west_third	7	Lysinibacillus	Bacillota	0.01573390863
west_third	8	Bacillus	Bacillota	0.0155828566
west_third	9	Nocardioides	Actinomycetota	0.0145346724
west_third	10	Herpetosiphon	Chloroflexota	0.01452493209
central_third	1	Domibacillus	Bacillota	0.06333393129
central_third	2	Massilia	Pseudomonadota	0.04576744523
central_third	3	Flavisolibacter	Bacteroidota	0.02266817103
central_third	4	Herpetosiphon	Chloroflexota	0.02188946752
central_third	5	Bacillus	Bacillota	0.02114645165
central_third	6	Noviherbaspirillum	Pseudomonadota	0.0209971538
central_third	7	Microvirga	Pseudomonadota	0.01946785499
central_third	8	Nibribacter	Bacteroidota	0.01809744888
central_third	9	Streptomyces	Actinomycetota	0.0170664333
central_third	10	Nocardioides	Actinomycetota	0.01358190474
east_third	1	Bacillus	Bacillota	0.06222796548
east_third	2	Domibacillus	Bacillota	0.04775342119
east_third	3	Halomonas	Pseudomonadota	0.02029052311
east_third	4	Planococcus	Bacillota	0.01994927732
east_third	5	Massilia	Pseudomonadota	0.01971404745
east_third	6	Ammoniphilus	Bacillota	0.01920399678
east_third	7	Bradyrhizobium	Pseudomonadota	0.01828638953
east_third	8	Microvirga	Pseudomonadota	0.01659100469
east_third	9	Paenibacillus	Bacillota	0.01647319044
east_third	10	Noviherbaspirillum	Pseudomonadota	0.01227534874
