genus	phylum	n_sites	spearman_rho_route_position	p_value	east_minus_west_mean_clr	east_minus_west_ci_low	east_minus_west_ci_high	mean_clr_west_third	mean_clr_central_third	mean_clr_east_third	q_bh_200	supported_q_lt_0_05	direction	mean_relative_abundance_west_third	mean_relative_abundance_central_third	mean_relative_abundance_east_third
Cellulomonas	Actinomycetota	60	-0.7922756321	4.689834915e-14	-2.227713181	-2.85688166	-1.598544703	1.074923958	-0.3246582107	-1.152789223	2.344917457e-12	True	decreases_eastward	0.005016091888	0.001727899667	0.001272546386
Blastocatella	Acidobacteriota	60	-0.7648791331	1.127052213e-12	-2.258884024	-2.804368825	-1.713399224	1.200498515	-0.472931949	-1.058385509	3.75684071e-11	True	decreases_eastward	0.001005579182	0.0003289361653	0.0001001955863
Marmoricola	Actinomycetota	60	-0.7049180328	3.242669718e-10	-1.652676007	-2.25564792	-1.049704094	0.7088121405	-0.09066767606	-0.9438638664	5.895763123e-09	True	decreases_eastward	0.001986756656	0.0009785370359	0.0006662668683
Ellin6055	Pseudomonadota	60	-0.6995276466	5.036612055e-10	-1.707651454	-2.385407315	-1.029895593	0.7359311938	-0.07257221437	-0.9717202602	7.888980205e-09	True	decreases_eastward	0.01123409205	0.003418283129	0.002596592607
Roseisolibacter	Gemmatimonadota	60	-0.6954153932	7.002049855e-10	-1.885033528	-2.48926581	-1.280801247	0.6707440925	0.2241137864	-1.214289436	9.336066473e-09	True	decreases_eastward	0.002222640879	0.00126817039	0.0008950226514
Steroidobacter	Pseudomonadota	60	-0.6914142817	9.598013889e-10	-1.610040439	-2.104575216	-1.115505663	0.6137966797	0.109870991	-0.9962437594	1.199751736e-08	True	decreases_eastward	0.002913908092	0.001785537542	0.001116754406
Limnobacter	Pseudomonadota	60	-0.6864684635	1.407579694e-09	-2.83329569	-3.500225882	-2.166365498	1.802529634	-1.161796417	-1.030766056	1.481662835e-08	True	decreases_eastward	0.002193953282	0.000402744363	0.0003023938963
Aridibacter	Acidobacteriota	60	-0.6854126146	1.525992848e-09	-1.862648976	-2.43888361	-1.286414342	1.134543188	-0.7253605772	-0.7281057877	1.525992848e-08	True	decreases_eastward	0.0008347042603	0.0002887419861	0.0001873079396
Sphingomonas	Pseudomonadota	60	-0.6657404835	6.47764682e-09	-1.354118567	-1.868763728	-0.839473407	0.5379096911	0.02888201592	-0.8162088763	5.52680661e-08	True	decreases_eastward	0.002080711357	0.001099569665	0.001352604546
Paraconexibacter	Actinomycetota	60	-0.6655181995	6.580277393e-09	-1.83975822	-2.335573467	-1.343942973	0.9561680046	-0.2612228882	-0.8835902158	5.52680661e-08	True	decreases_eastward	0.0005254518614	0.0002507344081	0.0002719968889
Gemmatimonas	Gemmatimonadota	60	-0.6612948041	8.848554801e-09	-1.551889566	-2.151672323	-0.9521068098	0.4672469746	0.3041136044	-1.084642592	7.078843841e-08	True	decreases_eastward	0.002575464475	0.001855383308	0.001170144736
Solirubrobacter	Actinomycetota	60	-0.6424006669	3.149030664e-08	-1.664190184	-2.232578065	-1.095802302	0.5161452503	0.3817012985	-1.148044933	2.171745286e-07	True	decreases_eastward	0.006336597001	0.005818686198	0.003178619786
Bryobacter	Acidobacteriota	60	-0.6313976104	6.340858891e-08	-1.39112538	-1.894980727	-0.8872700329	0.4152214601	0.3218696576	-0.9759039199	4.22723926e-07	True	decreases_eastward	0.001304014168	0.0007759758413	0.0006049131177
Pirellula	Planctomycetota	60	-0.6300639066	6.889459756e-08	-1.60485521	-2.181181849	-1.028528571	0.4823372969	0.3705373823	-1.122517913	4.444812746e-07	True	decreases_eastward	0.003049802866	0.002552742167	0.00147584065
Actinoplanes	Actinomycetota	60	-0.6260627952	8.816122077e-08	-1.807419822	-2.302163138	-1.312676505	1.06214084	-0.5385238128	-0.745278982	5.343104289e-07	True	decreases_eastward	0.0006128817318	0.0003428071856	4.678011469e-05
Gemmata	Planctomycetota	60	-0.6237288136	1.01636946e-07	-1.271915341	-1.76033787	-0.7834928112	0.3820776569	0.3023330938	-0.8898376838	5.876489174e-07	True	decreases_eastward	0.0007691050022	0.0008645665728	0.0004207699087
Blastococcus	Actinomycetota	60	-0.6231731036	1.051198987e-07	-1.612939438	-2.297444733	-0.9284341445	0.9495889021	-0.5748737352	-0.6633505364	5.876489174e-07	True	decreases_eastward	0.007065517875	0.001999574806	0.002223858389
Pseudonocardia	Actinomycetota	60	-0.6226173937	1.087150497e-07	-1.361400043	-1.785081751	-0.9377183353	0.3928810374	0.3786624363	-0.9685190059	5.876489174e-07	True	decreases_eastward	0.004088494625	0.003364370887	0.001695026836
Parviterribacter	Actinomycetota	60	-0.6213392609	1.174282232e-07	-1.166903179	-1.626648475	-0.7071578835	0.4248226759	0.1073350051	-0.7420805035	6.180432798e-07	True	decreases_eastward	0.001006813762	0.0008443308647	0.000538847805
Abditibacterium	Abditibacteriota	60	-0.6145595999	1.757494876e-07	-1.329343687	-1.873969291	-0.7847180836	0.5338980043	-0.01995801921	-0.7954456829	9.012794236e-07	True	decreases_eastward	0.0006536563445	0.0003608122956	0.0001499733555
Rubritepida	Pseudomonadota	60	-0.6072797999	2.681627367e-07	-1.466584935	-2.015748168	-0.9174217024	0.6639496152	-0.1078182556	-0.80263532	1.340813683e-06	True	decreases_eastward	0.0009430525076	0.0004903259585	0.0003191950326
Streptomyces	Actinomycetota	60	-0.6052236732	3.015777128e-07	-1.912480399	-2.506383231	-1.318577568	0.6151295559	0.4367420258	-1.297350843	1.471110794e-06	True	decreases_eastward	0.02604732331	0.0170664333	0.007344957783
Luteitalea	Acidobacteriota	60	-0.5842734093	9.532780108e-07	-1.199587498	-1.685057775	-0.7141172201	0.5761833626	-0.1296052067	-0.6234041351	4.433851213e-06	True	decreases_eastward	0.0004582991393	0.0003002811262	0.0003222784714
Caenimonas	Pseudomonadota	60	-0.572381217	1.768888471e-06	-2.07631631	-2.713910483	-1.438722137	0.5926015926	0.6768322696	-1.483714717	8.040402141e-06	True	decreases_eastward	0.0005466036939	0.0007526982678	0.0001429211131
