trait	category	description	kos	mean_predicted_share_surface	mean_predicted_share_shallow_subsurface	mean_predicted_share_root_adjacent	mean_predicted_share_all	spearman_rho_route	p_route	q_bh_route
coxL_CO_dehydrogenase	trace gas	aerobic CO dehydrogenase large subunit (coxL)	K03520	0.0003892009382	0.0004258101771	0.0003572891903	0.0003882408335	-0.1144206724	0.3840171513	0.4517848839
NiFe_hydrogenase_large	trace gas	[NiFe]-hydrogenase large subunit (group 1/1h KOs hyaB, hhyL, hoxH)	K06281,K18008,K00436	0.0001683466995	0.0001897746804	0.0001361636108	0.0001625677889	0.04701305918	0.7213175892	0.7213175892
rbcL_RuBisCO	carbon fixation	RuBisCO large subunit (rbcL/cbbL)	K01601	0.0001234440184	0.0001203729123	0.0001035465882	0.0001148038608	0.2592386774	0.04548410501	0.08269837274
psbA_photosystem_II	carbon fixation	photosystem II D1 protein (psbA)	K02703	2.567115013e-06	2.104249955e-06	3.143452778e-06	2.646033117e-06	0.05268130036	0.6893323503	0.7213175892
nifH_nitrogenase	nitrogen	nitrogenase iron protein (nifH)	K02588	4.761778718e-05	5.332040826e-05	4.149456902e-05	4.702307913e-05	0.07702139483	0.5585981924	0.6206646583
amoA_pmoA_ammonia_monooxygenase	nitrogen	ammonia/methane monooxygenase subunit A (amoA/pmoA)	K10944	4.505242891e-06	3.326760307e-06	3.287019425e-06	3.668698647e-06	-0.2386774104	0.06627819223	0.1028706248
nirK_nirS_nitrite_reductase	nitrogen	dissimilatory nitrite reductase (nirK, nirS)	K00368,K15864	0.0001322016937	0.0001284577842	0.0001143745236	0.0001241523798	-0.2322311753	0.07417822435	0.1059688919
nosZ_N2O_reductase	nitrogen	nitrous-oxide reductase (nosZ)	K00376	8.397890287e-05	8.248897931e-05	7.990109163e-05	8.194097018e-05	0.2014448458	0.1227263468	0.1636351291
ureC_urease	nitrogen	urease alpha subunit (ureC)	K01428	0.0002796784185	0.0002600333468	0.00027358315	0.0002712237081	-0.2716865796	0.03573935395	0.0714787079
otsA_otsB_trehalose	osmolyte	trehalose synthesis (otsA, otsB)	K00697,K01087	0.0005055210564	0.0005145845754	0.0004513395681	0.0004874046548	-0.710419561	2.04776627e-10	3.586311989e-09
treY_treZ_trehalose	osmolyte	trehalose from maltooligosaccharides (treY, treZ)	K06044,K01236	0.0004377794586	0.0004339151749	0.0003742351141	0.0004120318535	-0.6732425674	3.780817353e-09	2.520544902e-08
ectABC_ectoine	osmolyte	ectoine synthesis (ectA, ectB, ectC)	K06718,K00836,K06720	0.000174597249	0.0002244597739	0.0002736587525	0.0002283484916	0.3629897194	0.004365299351	0.01091324838
crtB_phytoene_synthase	pigment	phytoene synthase (crtB), carotenoid pigments	K02291	0.0004003037734	0.0003923187396	0.0003666962393	0.0003848414515	-0.5913864962	6.508344922e-07	3.254172461e-06
spo0A_sporulation	dormancy	sporulation master regulator (spo0A)	K07699	0.0001045005043	0.0001044960185	0.0001321830024	0.0001151930838	0.5573214782	3.740664418e-06	1.246888139e-05
phrB_photolyase	DNA repair	deoxyribodipyrimidine photolyase (phrB)	K01669	0.0004051714413	0.0004160934877	0.0003882111556	0.0004020109884	-0.2748541261	0.03355782881	0.0714787079
uvrA_excision_repair	DNA repair	UvrABC system protein A (uvrA)	K03701	0.0007616335111	0.0007887164	0.0007513856824	0.0007660842934	-0.2381772715	0.06686590615	0.1028706248
recA_recombination_repair	DNA repair	recombinase A (recA)	K03553	0.0005586686898	0.000580244233	0.0005525994024	0.0005630235714	-0.5683245346	2.172188572e-06	8.688754289e-06
katE_katG_catalase	oxidative stress	catalase (katE) and catalase-peroxidase (katG)	K03781,K03782	0.0009374897739	0.0008498872301	0.0009735435181	0.0009242158583	-0.1568213393	0.2314623679	0.2893279599
sodA_superoxide_dismutase	oxidative stress	Fe/Mn superoxide dismutase (sodA)	K04564	0.0005958238664	0.0005965152321	0.0006336990891	0.0006106700489	0.703695471	3.586311989e-10	3.586311989e-09
dps_DNA_protection	oxidative stress	DNA protection during starvation protein (dps)	K04047	0.0004539375232	0.0004396491966	0.00047500763	0.0004576403579	0.4296749097	0.0006123600938	0.001749600268
