run_accession	desert	shannon_otu97	total_reads_postqc	n_otus_observed	csp_abundance_97id	csp_abundance_85id	csp_rel_97	csp_rel_85
SRR5838954	Gurbantunggut	4.9362109022358736	19596	585	0	0	0.0	0.0
SRR5839032	Gurbantunggut	5.652668654172032	29869	1157	0	9	0.0	0.00030131574542167466
SRR5839035	Gurbantunggut	5.73857665460573	24834	1085	0	0	0.0	0.0
SRR5839036	Gurbantunggut	5.572794836341737	22877	996	0	4	0.0	0.000174848100712506
SRR5839037	Gurbantunggut	5.655438837475775	20983	1030	0	2	0.0	9.531525520659581e-05
SRR5839038	Gurbantunggut	5.552311523147168	19291	922	0	12	0.0	0.0006220517339692084
SRR5839040	Gurbantunggut	5.471502600872301	23225	990	0	7	0.0	0.0003013993541442411
SRR5839144	Gurbantunggut	5.966364123882673	24865	1320	0	11	0.0	0.00044238890006032574
SRR5839145	Gurbantunggut	5.814927116395243	24289	1235	0	15	0.0	0.0006175635061138787
SRR5839146	Gurbantunggut	5.109870277044529	22478	876	0	2	0.0	8.897588753447816e-05
SRR5839147	Gurbantunggut	5.18327801807331	21939	966	0	5	0.0	0.00022790464469665892
SRR5839149	Gurbantunggut	4.770873298475186	22638	843	0	3	0.0	0.00013252054068380598
SRR5839150	Gurbantunggut	5.239951607014641	16277	867	0	0	0.0	0.0
SRR5839151	Gurbantunggut	5.479770153973025	22881	1066	0	9	0.0	0.0003933394519470303
SRR5839152	Gurbantunggut	4.905043175833653	20796	915	0	7	0.0	0.0003366031929217157
SRR5839153	Gurbantunggut	5.369345667688728	26277	1056	0	17	0.0	0.0006469536096205807
SRR5839154	Gurbantunggut	5.373145315522233	19335	894	0	9	0.0	0.00046547711404189296
SRR5839215	Gurbantunggut	5.418565080597396	24826	1029	0	8	0.0	0.0003222428099573028
SRR5839216	Gurbantunggut	5.2353237582470005	22760	955	0	15	0.0	0.0006590509666080844
SRR5839217	Gurbantunggut	5.152310278678078	18705	839	0	11	0.0	0.0005880780539962577
SRR5839218	Gurbantunggut	5.15922954629435	17677	823	0	3	0.0	0.00016971205521298862
SRR5839232	Gurbantunggut	5.397256834983984	22465	1015	0	10	0.0	0.0004451368795904741
SRR5839234	Gurbantunggut	5.476561803520759	21274	1101	4	4	0.00018802293879853342	0.00018802293879853342
