sample	Shannon	csp_rel	site	compartment	trip	S	Cl	Na	P
V10Dr1	6.071800368890204	0.0043004917502666	10	deep	5	0.041	0.029	0.47	0.24
V10PRr2	5.5234037692041325	0.0029520775580843	10	rhizosphere	5	0.0	0.042	0.22	0.041
V11Dr3	7.210397129546478	0.0045895060410707	11	deep	5	0.0	0.056	0.47	0.19
V11PRr2	6.919090633903909	0.0091660139754885	11	rhizosphere	5	0.039	0.003	0.1	0.038
V11PRr3	6.649958729540225	0.0035284226973963	11	rhizosphere	5	0.039	0.003	0.1	0.038
V11Sr2	5.282140252008222	0.0010191133393673	11	surface	5	0.025	0.038	0.14	0.041
V12Dr3	7.332654175127173	0.0081792712876198	12	deep	5	0.058	0.12	0.47	0.29
V12PRr1	6.559212630587094	0.0013103181094227	12	rhizosphere	5	0.0	0.042	0.25	0.042
V12PRr2	6.537951560187068	0.0005837076317299	12	rhizosphere	5	0.0	0.042	0.25	0.042
V12PRr3	6.639556132437445	0.0011474253314193	12	rhizosphere	5	0.0	0.042	0.25	0.042
V12Sr1	6.727624157136056	0.0040310903095017	12	surface	5	0.049	0.042	0.2	0.042
V12Sr3	6.161101630210364	0.0002091340404585	12	surface	5	0.049	0.042	0.2	0.042
V13PRr1	6.72825659807463	0.0019313698464556	13	rhizosphere	5	0.07	0.033	0.22	0.041
V13PRr2	6.043043615114776	0.0019545351779866	13	rhizosphere	5	0.07	0.033	0.22	0.041
V13Sr3	6.362147432819205	0.0045627472342089	13	surface	5	0.057	0.042	0.23	0.041
V14Dr3	4.680894977612779	0.0032562446156819	14	deep	5	0.046	0.059	0.3	0.19
V14PRr1	4.307826123668849	0.0004216290212183	14	rhizosphere	5	0.055	0.066	0.13	0.042
V14PRr2	4.900654248101491	0.0003407539357079	14	rhizosphere	5	0.055	0.066	0.13	0.042
V14PRr3	4.600975918314331	0.0002537205743599	14	rhizosphere	5	0.055	0.066	0.13	0.042
V14Sr1	6.077280300155559	0.0088836866519269	14	surface	5	0.042	0.084	0.27	0.041
V15Dr1	6.915574637004093	0.0011766638253043	15	deep	5	0.046	0.059	0.3	0.19
V15Dr2	6.804629343134828	0.0016092427430158	15	deep	5	0.046	0.059	0.3	0.19
V15Dr3	7.157126827232911	0.0022117332327927	15	deep	5	0.046	0.059	0.3	0.19
V15PRr1	5.7309580373799776	1.6992957191651207e-05	15	rhizosphere	5	0.12	0.1	0.32	0.051
V15PRr2	5.902457218455249	0.0006012526534539	15	rhizosphere	5	0.12	0.1	0.32	0.051
V15PRr3	5.90576577364444	6.312520252669144e-05	15	rhizosphere	5	0.12	0.1	0.32	0.051
V15Sr1	6.847368616898815	0.0017368669278769	15	surface	5	0.0	0.071	0.23	0.066
V15Sr2	7.08439613949168	0.0011393209280731	15	surface	5	0.0	0.071	0.23	0.066
V16Dr1O	5.992921466048775	0.007037694693521	16	deep	5	0.0	0.007	0.5	0.18
V16Dr1T	5.968556327856039	0.0057476497957403	16	deep	5	0.0	0.007	0.5	0.18
V16Dr3	5.946100437862325	0.0091321947494198	16	deep	5	0.0	0.007	0.5	0.18
V16PRr1O	5.44440045474486	0.0	16	rhizosphere	5	0.1	0.0	0.28	0.0
V16PRr1T	5.9775559464696855	0.0001078503717999	16	rhizosphere	5	0.1	0.0	0.28	0.0
V16PRr1	6.037154867547267	0.0017139158077008	16	rhizosphere	5	0.1	0.0	0.28	0.0
V16PRr2	6.513473039304877	4.522707984707927e-05	16	rhizosphere	5	0.1	0.0	0.28	0.0
V16PRr3	6.43459691618043	7.29978675774441e-05	16	rhizosphere	5	0.1	0.0	0.28	0.0
V16Sr1O	5.062269589633196	0.0001744211398421	16	surface	5	0.0	0.003	0.28	0.053
V17Dr1	7.1147481637878816	0.0004233679083791	17	deep	5	0.052	0.087	0.41	0.2
V17Dr2	6.780421625069875	0.0025781069644829	17	deep	5	0.052	0.087	0.41	0.2
V17PRr1	6.194577181772239	0.0007067378014476	17	rhizosphere	5	0.0	0.006	0.096	0.0
V17PRr2	6.134996170978673	0.0017766264906812	17	rhizosphere	5	0.0	0.006	0.096	0.0
V17PRr3	6.501994694032454	0.0032076899114414	17	rhizosphere	5	0.0	0.006	0.096	0.0
V18PRr2	5.90937679276483	0.000347461452567	18	rhizosphere	5	0.026	0.12	0.16	0.0
V18PRr3	5.884105910461214	0.0005215118441365	18	rhizosphere	5	0.026	0.12	0.16	0.0
V19Dr2	7.4876952494809155	0.0061252156383216	19	deep	5	0.039	0.056	0.44	0.19
V19Dr3	7.4131788673524515	0.0095006173686376	19	deep	5	0.039	0.056	0.44	0.19
V19PRr1	5.994517192708297	0.0011805183407504	19	rhizosphere	5	0.025	0.074	0.2	0.0
V19PRr2	5.877012206462311	0.0008772523284396	19	rhizosphere	5	0.025	0.074	0.2	0.0
V19PRr3	5.731305774185508	0.0015082315454062	19	rhizosphere	5	0.025	0.074	0.2	0.0
V19Sr3	6.88507081442924	0.0240683023746961	19	surface	5	0.025	0.0	0.093	0.0
V1Dr1	3.731199427887727	0.0	1	deep	5	0.069	0.083	0.64	0.44
V1Dr3	5.939350427876422	0.0003254738664617	1	deep	5	0.069	0.083	0.64	0.44
V1PRr1	5.308317924690354	0.0004136590993616	1	rhizosphere	5	0.026	0.042	0.13	0.05
V1PRr2	4.204629610032626	2.0428018048153942e-05	1	rhizosphere	5	0.026	0.042	0.13	0.05
V1PRr3	4.024007632887178	0.0	1	rhizosphere	5	0.026	0.042	0.13	0.05
