genus	n	raw_rho	raw_p	partial_rho	partial_p
Herpetosiphon	70	0.7090123301707782	6.494821817774259e-12	0.6385008584648924	2.736284625857061e-09
Paenibacillus	70	0.2858035048713336	0.016466519048770417	0.3255080664676655	0.005965442983889545
Flavisolibacter	70	0.20560764878711307	0.08771817417059558	0.03398204800505896	0.7800333337743324
Ammoniphilus	70	0.24483652210589155	0.041075230570808544	0.3672702209000891	0.0017626711358335696
Streptomyces	70	0.48549985276337393	2.0437819161985135e-05	0.3965196698263189	0.0006782240865566417
Rubrobacter	70	0.4912860554420256	1.5710911548991173e-05	0.3538599843188606	0.0026542535087645154
Ectobacillus	70	0.5475779611540252	9.307818110019029e-07	0.40972510972589304	0.00042787163135732257
Neobacillus	70	0.34765768107759654	0.003188862571929758	0.31985858242693044	0.006949573947393551
Ramlibacter	70	0.2529994324996138	0.0345886024344065	0.10983808274303829	0.3653766901208473
Noviherbaspirillum	70	0.11393174170115003	0.34766885164254924	-0.017634332386917397	0.8847944919012714
Nocardioides	70	0.1853694537214367	0.12445614678460411	0.047276121391708004	0.6975455338652813
