genome	otsA	otsB	treS	treY	treZ	treT	betA	betB	gbsB	ectA	ectB	ectD	ino1	opuA	opuB	opuC	proP	betT	proV	proW	proX	treB	treC	treR
CSP12_V27Dr2__SemiBin_73	1	0	2	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CSP12_V30PRr1__SemiBin_7	0	0	3	1	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
CSP12_V32PRr1__SemiBin_26	0	0	2	1	1	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CSP12_V38PRr3__SemiBin_38	0	0	3	1	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EQnative_CSP1-4_Limnocylindria_SemiBin_191	0	0	2	0	1	0	0	0	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0
EQnative_CSP1-6_Rokubacteriales_SemiBin_69	1	1	0	1	2	1	0	0	0	0	0	0	1	1	2	2	0	0	0	0	0	0	0	0
EQnative_Herpetosiphonaceae_BPHZ01_1_SemiBin_120	0	1	6	1	1	0	0	1	0	0	0	0	2	1	0	0	0	0	0	1	2	0	0	0
EQnative_Herpetosiphonaceae_BPHZ01_2_SemiBin_145	0	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EQnative_Myxococcus_SemiBin_124	1	0	2	1	2	1	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	0	0	0
EQnative_Rubrobacter_1_SemiBin_66	0	1	1	1	1	1	0	2	0	0	0	0	1	2	4	2	1	1	1	1	5	0	0	0
EQnative_Rubrobacter_DATHTK01_SemiBin_9	0	2	1	1	1	0	0	0	0	0	0	0	1	1	2	1	0	0	1	1	4	0	0	0
EQnative_Rubrobacter_JALYGY01_SemiBin_234	0	1	1	1	1	1	0	0	1	0	0	0	1	1	2	1	1	1	1	1	4	0	0	0
EQnative_Streptomyces_SemiBin_236	1	1	0	1	1	0	0	2	0	2	0	0	2	0	1	0	0	0	1	1	2	0	0	0
EQnative_coassembly_CSP12_SemiBin_370	0	0	4	0	2	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
RefSeq_Ammoniphilus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	3	0	0	0
RefSeq_Ectobacillus	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	0	0	1	1
RefSeq_Herpetosiphon	1	1	1	1	1	0	0	2	0	0	0	0	1	1	2	1	0	0	0	0	0	0	0	0
RefSeq_Neobacillus	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	1	1
RefSeq_Paenibacillus	0	0	0	0	0	0	0	0	0	1	1	1	0	1	2	2	0	0	1	1	2	0	1	1
RefSeq_Rubrobacter	0	2	1	1	1	0	0	0	0	0	0	0	1	2	4	2	0	2	1	1	5	0	0	0
RefSeq_Streptomyces	1	1	2	1	1	0	0	3	0	1	1	1	2	2	4	3	0	0	2	2	3	0	0	0
