genome	KO	protein_id	score	evalue	above_threshold
CSP12_V27Dr2__SemiBin_73	K00697	contig_553_1	628.1	2.1e-189	1
CSP12_V27Dr2__SemiBin_73	K01087	contig_553_1	77.1	1.9e-22	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_475_2	946.9	2.2e-285	1
CSP12_V27Dr2__SemiBin_73	K05343	contig_498_1	465.5	5.9e-140	1
CSP12_V27Dr2__SemiBin_73	K05343	contig_154_3	445.7	5.8e-134	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_166_6	373.8	3.1e-112	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_368_1	360.5	3.2e-108	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_507_9	336.6	5.2e-101	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_116_6	161.9	3.1e-48	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_419_3	68.6	5e-20	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_370_13	49.4	3.2e-14	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_368_2	43.4	2e-12	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_556_11	40.7	1.3e-11	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_314_1	39.3	3.4e-11	0
CSP12_V27Dr2__SemiBin_73	K05343	contig_156_1	35.5	5e-10	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_314_1	1133.8	0.0	1
CSP12_V27Dr2__SemiBin_73	K06044	contig_116_5	235.6	1.7e-70	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_116_2	227.6	4.4e-68	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_116_6	76.4	1.8e-22	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_154_3	67.2	1.1e-19	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_498_1	66.4	1.9e-19	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_166_6	58.1	6.2e-17	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_116_1	40.8	1e-11	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_154_1	39.6	2.3e-11	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_368_1	35.0	5.5e-10	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_370_13	33.6	1.5e-09	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_156_1	26.5	2.1e-07	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_419_3	14.0	0.0012	0
CSP12_V27Dr2__SemiBin_73	K06044	contig_556_11	11.7	0.006	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_370_13	387.5	2e-116	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_419_3	198.5	2.9e-59	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_556_11	165.6	2.5e-49	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_116_6	112.7	2.6e-33	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_498_1	101.8	4.9e-30	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_154_3	101.7	5.2e-30	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_156_1	98.8	4.1e-29	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_368_1	92.3	3.8e-27	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_166_6	82.4	3.7e-24	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_475_2	40.5	1.7e-11	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_314_1	33.5	2.3e-09	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_507_9	31.0	1.3e-08	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_368_2	18.1	0.0001	0
CSP12_V27Dr2__SemiBin_73	K01236	contig_156_2	15.7	0.00054	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_179_4	522.5	9.9e-158	1
CSP12_V27Dr2__SemiBin_73	K13057	contig_231_2	78.7	5e-23	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_279_8	57.3	1.6e-16	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_47_1	52.2	5.4e-15	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_57_1	48.8	5.9e-14	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_510_7	35.7	5.6e-10	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_186_2	33.6	2.4e-09	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_553_1	24.2	1.7e-06	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_496_5	18.5	8.9e-05	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_47_3	13.5	0.0029	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_549_3	11.2	0.015	0
CSP12_V27Dr2__SemiBin_73	K13057	contig_245_2	10.8	0.019	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_349_3	721.9	8.6e-218	1
CSP12_V27Dr2__SemiBin_73	K00108	contig_227_1	364.0	1.8e-109	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_221_2	101.1	6.4e-30	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_14_8	13.8	0.0016	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_380_7	10.6	0.016	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_330_3	10.5	0.017	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_103_1	10.4	0.018	0
CSP12_V27Dr2__SemiBin_73	K00108	contig_283_2	10.0	0.023	0
CSP12_V27Dr2__SemiBin_73	K00130	contig_446_2	742.2	5.7e-224	1
CSP12_V27Dr2__SemiBin_73	K00130	contig_538_2	683.1	4.5e-206	0
CSP12_V27Dr2__SemiBin_73	K00130	contig_7_1	571.1	3.8e-172	0
CSP12_V27Dr2__SemiBin_73	K00130	contig_324_6	541.4	3.8e-163	0
CSP12_V27Dr2__SemiBin_73	K00130	contig_446_3	433.7	1.5e-130	0
CSP12_V27Dr2__SemiBin_73	K00499	contig_501_3	23.5	3.2e-06	0
CSP12_V27Dr2__SemiBin_73	K00499	contig_216_13	14.8	0.0014	0
CSP12_V27Dr2__SemiBin_73	K00499	contig_283_2	14.5	0.0017	0
CSP12_V27Dr2__SemiBin_73	K17755	contig_349_3	430.7	1.3e-129	0
CSP12_V27Dr2__SemiBin_73	K17755	contig_227_1	257.3	4.6e-77	0
CSP12_V27Dr2__SemiBin_73	K17755	contig_221_2	93.0	2.9e-27	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_221_2	354.6	1.9e-106	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_349_3	69.5	3e-20	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_227_1	45.3	6.1e-13	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_380_7	30.5	1.9e-08	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_14_8	23.8	1.9e-06	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_330_3	22.0	6.9e-06	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_283_2	17.3	0.00018	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_302_1	13.6	0.0024	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_103_1	12.9	0.004	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_464_4	11.2	0.013	0
CSP12_V27Dr2__SemiBin_73	K17756	contig_276_1	5.9	0.49	0
CSP12_V27Dr2__SemiBin_73	K06718	contig_171_2	26.4	6.3e-07	0
CSP12_V27Dr2__SemiBin_73	K06718	contig_125_6	15.9	0.00096	0
CSP12_V27Dr2__SemiBin_73	K06718	contig_552_2	15.3	0.0015	0
CSP12_V27Dr2__SemiBin_73	K06718	contig_368_4	11.8	0.018	0
CSP12_V27Dr2__SemiBin_73	K06720	contig_350_2	19.6	0.00011	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_489_2	21.5	2e-05	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_301_1	17.1	0.00043	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_386_6	14.8	0.0021	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_199_1	12.7	0.0095	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_386_8	11.9	0.016	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_513_4	8.6	0.17	0
CSP12_V27Dr2__SemiBin_73	K06721	contig_265_6	3.2	7.3	0
CSP12_V27Dr2__SemiBin_73	K01858	contig_451_5	449.0	4.8e-135	1
CSP12_V27Dr2__SemiBin_73	K05845	contig_100_10	322.6	7.6e-97	1
CSP12_V27Dr2__SemiBin_73	K05846	contig_100_10	301.1	1.8e-90	1
CSP12_V27Dr2__SemiBin_73	K05846	contig_49_5	61.3	1.2e-17	0
CSP12_V27Dr2__SemiBin_73	K05846	contig_316_6	48.5	9e-14	0
CSP12_V27Dr2__SemiBin_73	K05846	contig_316_5	23.9	2.8e-06	0
CSP12_V27Dr2__SemiBin_73	K05846	contig_353_3	20.1	3.9e-05	0
CSP12_V27Dr2__SemiBin_73	K05846	contig_239_3	15.4	0.001	0
CSP12_V27Dr2__SemiBin_73	K05846	contig_353_2	10.4	0.033	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_100_11	324.3	2.1e-97	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_49_4	249.8	9.2e-75	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_316_7	212.5	1.9e-63	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_353_5	205.7	2.2e-61	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_388_3	191.9	3.5e-57	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_249_1	183.0	1.8e-54	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_480_3	173.3	1.5e-51	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_374_4	169.3	2.6e-50	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_18_9	164.0	1e-48	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_353_4	158.5	4.7e-47	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_398_3	146.1	2.7e-43	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_218_2	142.9	2.7e-42	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_137_1	141.8	5.7e-42	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_346_2	127.8	9.9e-38	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_38_5	117.6	1.3e-34	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_478_2	90.3	2.5e-26	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_539_5	87.5	1.8e-25	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_58_2	85.4	7.9e-25	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_92_1	76.5	3.9e-22	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_59_1	65.2	1e-18	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_264_1	64.4	1.8e-18	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_478_1	47.8	2e-13	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_117_2	45.0	1.4e-12	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_226_1	42.1	1.1e-11	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_78_3	15.1	0.0017	0
CSP12_V27Dr2__SemiBin_73	K05847	contig_19_4	13.7	0.0047	0
CSP12_V27Dr2__SemiBin_73	K03451	contig_153_3	4.0	1.8	0
CSP12_V27Dr2__SemiBin_73	K02168	contig_284_3	13.2	0.0027	0
CSP12_V27Dr2__SemiBin_73	K02168	contig_153_3	10.4	0.019	0
CSP12_V27Dr2__SemiBin_73	K02168	contig_462_2	8.8	0.059	0
CSP12_V27Dr2__SemiBin_73	K02168	contig_328_4	2.9	3.7	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_49_4	241.5	4.6e-72	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_100_11	219.9	1.5e-65	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_388_3	210.5	1.1e-62	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_316_7	187.6	9e-56	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_353_5	181.6	6.2e-54	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_249_1	166.4	2.5e-49	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_374_4	140.1	2.2e-41	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_480_3	133.4	2.5e-39	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_353_4	130.5	1.8e-38	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_398_3	109.9	3.1e-32	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_18_9	105.4	7.3e-31	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_137_1	105.2	8e-31	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_218_2	76.6	3.8e-22	0
CSP12_V27Dr2__SemiBin_73	K02000	contig_92_1	75.1	1e-21	0
