Name	Completeness	Contamination	Completeness_Model_Used	Translation_Table_Used	Coding_Density	Contig_N50	Average_Gene_Length	Genome_Size	GC_Content	Total_Coding_Sequences	Total_Contigs	Max_Contig_Length	Additional_Notes
SemiBin_10	49.19	3.56	Gradient Boost (General Model)	11	0.894	4588	299.6761927827561	4145732	0.69	4129	957	20664	None
SemiBin_101	26.6	6.01	Neural Network (Specific Model)	11	0.894	8273	296.17147707979626	1751686	0.72	1767	261	138976	None
SemiBin_102	77.79	7.74	Gradient Boost (General Model)	11	0.904	6686	276.39902045520023	6352011	0.73	6942	1077	32782	None
SemiBin_105	89.7	6.78	Gradient Boost (General Model)	11	0.937	13535	299.25716625716626	3502914	0.73	3663	360	80957	None
SemiBin_106	31.71	1.83	Neural Network (Specific Model)	11	0.918	3487	256.59565987599643	1886855	0.74	2258	528	11939	None
SemiBin_109	44.29	0.0	Neural Network (Specific Model)	11	0.849	4266	256.30296425457715	2072925	0.66	2294	491	18518	None
SemiBin_11	93.55	7.6	Gradient Boost (General Model)	11	0.858	9505	291.8898360655738	6216897	0.68	6100	856	51435	None
SemiBin_111	53.14	4.79	Gradient Boost (General Model)	11	0.932	5372	279.5892857142857	3115623	0.73	3472	619	26022	None
SemiBin_113	100.0	2.24	Gradient Boost (General Model)	11	0.91	42360	317.79863147605084	2137233	0.69	2046	103	115737	None
SemiBin_114	10.16	0.01	Neural Network (Specific Model)	11	0.942	4396	298.9021739130435	262041	0.72	276	49	58434	None
SemiBin_115	92.36	6.85	Gradient Boost (General Model)	11	0.866	59841	316.10602067707276	5393895	0.71	4933	177	335876	None
SemiBin_117	6.79	0.03	Neural Network (Specific Model)	11	0.885	3423	259.2069486404834	580859	0.73	662	165	8295	None
SemiBin_118	44.68	0.93	Gradient Boost (General Model)	11	0.902	4233	266.65061425061424	1800084	0.71	2035	433	11575	None
SemiBin_119	100.0	10.57	Gradient Boost (General Model)	11	0.913	27270	318.8765690376569	3997235	0.76	3824	219	85308	None
SemiBin_120	98.12	6.74	Gradient Boost (General Model)	11	0.844	37404	332.062666041569	7542107	0.62	6399	327	138628	None
SemiBin_122	55.31	7.96	Gradient Boost (General Model)	11	0.926	3796	262.5743756786102	3122817	0.74	3684	801	13349	None
SemiBin_123	57.82	2.56	Gradient Boost (General Model)	11	0.937	4237	273.30277098614505	2141143	0.72	2454	502	16379	None
SemiBin_124	91.9	5.18	Neural Network (Specific Model)	11	0.911	10093	337.6768409388536	11020017	0.71	9927	1417	41279	None
SemiBin_125	28.86	1.74	Neural Network (Specific Model)	11	0.932	3450	260.66442953020135	1746015	0.74	2086	495	8131	None
SemiBin_128	17.11	0.09	Neural Network (Specific Model)	11	0.901	3497	253.3196392785571	840026	0.76	998	237	8538	None
SemiBin_132	100.0	7.12	Gradient Boost (General Model)	11	0.903	41020	353.3832089552239	6279866	0.68	5360	286	201064	None
SemiBin_136	55.08	3.31	Gradient Boost (General Model)	11	0.89	5970	266.3629335562056	4285740	0.7	4786	776	40063	None
SemiBin_138	14.21	0.02	Neural Network (Specific Model)	11	0.858	3143	245.93866943866945	824825	0.59	962	248	13913	None
SemiBin_139	55.4	4.91	Gradient Boost (General Model)	11	0.897	5264	267.7104662536681	2737145	0.71	3067	541	21879	None
SemiBin_14	67.92	2.31	Gradient Boost (General Model)	11	0.859	5307	320.04121831114355	6120165	0.65	5483	1233	22233	None
SemiBin_141	89.43	3.77	Gradient Boost (General Model)	11	0.923	13177	298.2196029776675	3117571	0.72	3224	312	54833	None
SemiBin_142	9.02	0.61	Neural Network (Specific Model)	11	0.833	3775	232.68698060941827	904377	0.68	1083	229	17460	None
SemiBin_143	50.76	3.16	Neural Network (Specific Model)	11	0.922	4122	272.3434782608696	1423601	0.72	1610	342	11334	None
SemiBin_144	67.25	2.91	Neural Network (Specific Model)	11	0.859	7765	287.3546818854365	4736908	0.74	4731	729	40760	None
SemiBin_145	71.61	5.23	Gradient Boost (General Model)	11	0.852	6082	301.1139567669173	4504857	0.65	4256	823	26861	None
SemiBin_148	80.63	8.71	Gradient Boost (General Model)	11	0.912	11475	296.4358535750941	2842749	0.73	2923	325	214551	None
SemiBin_150	98.89	7.98	Gradient Boost (General Model)	11	0.872	64479	295.84326677676023	6761194	0.68	6661	212	241102	None
SemiBin_151	11.61	0.05	Neural Network (Specific Model)	11	0.887	3152	270.0128331688055	923032	0.73	1013	281	7656	None
SemiBin_155	31.98	2.36	Neural Network (Specific Model)	11	0.913	3535	256.2690176322418	1667621	0.69	1985	462	12401	None
SemiBin_157	92.54	4.31	Gradient Boost (General Model)	11	0.939	10446	288.76079593564776	2173328	0.73	2362	261	33660	None
SemiBin_160	40.55	4.37	Neural Network (Specific Model)	11	0.931	4484	265.67387513079876	2444649	0.74	2867	567	17107	None
SemiBin_164	80.88	11.9	Gradient Boost (General Model)	11	0.945	6581	277.7582384661474	2933424	0.74	3338	496	114237	None
