contig	length	gc	V26Dr2	V30Sr2	V32PRr1	V38PRr3	V39Sr2	cov_mean	cov_log	tnf_cdist
k127_598472	77186	0.4291	6.10576	10.0961	10.6645	15.7883	8.12072	10.155076	1.0066831779877103	0.009686341846299795
k127_3871409	4719	0.4961	6.63467	10.2905	10.3427	15.9875	10.2123	10.693534	1.0291212546064612	0.06863685790815177
k127_1491668	2849	0.4079	9.12917	16.2836	13.6016	18.782	12.0849	13.976254	1.145390784776536	0.06805194099279133
k127_2979534	8326	0.4494	6.1386	10.5145	9.92613	17.0993	13.2848	11.392666	1.0566253653088	0.031085248812988242
k127_1789754	30967	0.4302	7.08683	9.25876	11.2762	14.3899	10.1897	10.440278	1.0187120630588224	0.014335266105499511
k127_5505	4914	0.4514	11.102	20.3795	16.3453	25.7924	12.1817	17.160180000000004	1.2345218390253176	0.0335634031838703
k127_304528	3107	0.3936	7.22916	8.57805	9.12681	14.6189	7.34149	9.378882	0.9721510718365444	0.0508079984838713
k127_602149	8411	0.445	6.0384	13.9278	9.83522	14.506	9.16776	10.695036	1.0291822507658952	0.0276139696763551
k127_2983419	8429	0.4939	6.96049	14.2705	9.4583	14.7989	10.3686	11.171358	1.048105969539815	0.055696098155413876
k127_1793152	4550	0.4116	8.84242	5.74066	7.60813	6.66484	9.01319	7.573848000000001	0.8793165849908213	0.04348416579639092
k127_4173706	3492	0.4407	2.19874	10.457	7.92984	16.6197	10.9651	9.634076	0.9838100679956912	0.04542749830189796
k127_306687	14937	0.4382	6.43971	10.6592	10.1569	17.1848	9.38549	10.76522	1.032022909571464	0.04442538542304075
k127_1200365	6936	0.4595	8.97765	13.692	14.9148	23.5581	14.1844	15.06539	1.1779803788009862	0.035758683147225634
k127_3878356	15608	0.4104	5.35552	10.4278	9.63045	15.3143	8.30337	9.806288	0.991504643853468	0.009811588671560179
k127_3878696	6220	0.4458	10.6315	18.3138	17.2892	26.5232	14.3479	17.42112	1.2410760722665817	0.05832186219304314
k127_1201507	3395	0.4842	4.47629	9.67305	8.94845	12.9673	9.24948	9.062914	0.9572678588958832	0.08355258842988733
k127_308762	25794	0.4173	6.00795	9.65523	10.9394	16.2581	8.2518	10.222496	1.0095569492896392	0.012678315547730357
k127_3284672	18553	0.4402	5.92298	10.574	11.05	15.1899	10.4203	10.631436	1.0265919291287318	0.012691111691536361
k127_4474067	37840	0.431	8.00373	12.0822	12.4724	17.6348	10.1812	12.074866	1.0818823198969671	0.004571758839835849
k127_309332	34175	0.428	5.66031	10.1573	10.418	13.444	7.64363	9.464648	0.9761044667414086	0.006042033929125723
k127_2693002	4164	0.3991	3.66595	5.53506	8.90634	11.074	6.77065	7.1904	0.8567530507390348	0.0428348587309455
