user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
SemiBin_102	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	N/A	N/A	N/A	N/A	N/A	GCF_007994075.1	95.0	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__Pseudonocardia hierapolitana	93.42	0.611	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Pseudonocardiaceae;g__Pseudonocardia;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_019468565.1, s__Pseudonocardia sp019468565, 95.0, 88.95, 0.347; GCF_006717045.1, s__Pseudonocardia cypriaca, 95.0, 88.85, 0.331; GCF_039543345.1, s__Pseudonocardia adelaidensis, 95.0, 88.18, 0.288; GCA_001942185.1, s__Pseudonocardia sp001942185, 95.0, 87.53, 0.231; GCF_035305885.1, s__Pseudonocardia sp035305885, 95.0, 87.3, 0.223; GCF_039525585.1, s__Pseudonocardia zijingensis, 95.0, 87.2, 0.185	50.28	11	0.99303	Genome not assigned to closest species as it falls outside its pre-defined ANI radius;Genome has more than 12.5% of markers with multiple hits
SemiBin_105	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAHWLA01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__JAHWLA01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	77.54	11	0.79228	Genome has more than 11.7% of markers with multiple hits
SemiBin_11	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__FW602-bin22;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__FW602-bin22;o__FW602-bin22;f__;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	79.77	11	0.67048	N/A
SemiBin_113	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__KH17;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__KH17;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	92.57	11	0.92519	N/A
SemiBin_115	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Streptosporangiales;f__Streptosporangiaceae;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.68	11	0.90268	Genome has more than 15.8% of markers with multiple hits
SemiBin_120	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__BPHZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__BPHZ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	89.89	11	0.9049	N/A
SemiBin_124	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__Myxococcus;s__	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree	GCF_012933655.1, s__Myxococcus fallax, 95.0, 87.39, 0.243; GCF_020037125.1, s__Myxococcus sp020037125, 95.0, 87.35, 0.237; GCF_024198175.1, s__Myxococcus xibeiensis, 95.0, 87.34, 0.242; GCF_010894435.1, s__Myxococcus trucidator, 95.0, 87.33, 0.24; GCF_010894405.1, s__Myxococcus caerfyrddinensis, 95.0, 86.98, 0.235; GCF_026626705.1, s__Myxococcus sp026626705, 95.0, 86.85, 0.23; GCF_017301735.1, s__Myxococcus parkwaysis, 95.0, 86.54, 0.202; GCF_002305895.1, s__Myxococcus macrosporus, 95.0, 85.79, 0.181; GCA_023426545.1, s__Myxococcus sp023426545, 95.0, 85.56, 0.184; GCA_014656495.1, s__Myxococcus sp014656495, 95.0, 85.47, 0.162; GCF_006402735.1, s__Myxococcus xanthus_A, 95.0, 85.39, 0.153; GCF_900101905.1, s__Myxococcus virescens, 96.84, 85.31, 0.153	61.0	11	0.95382	N/A
SemiBin_132	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__JACPPN01;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;f__JACPPN01;g__;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	74.15	11	0.73727	Genome has more than 24.2% of markers with multiple hits
SemiBin_141	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__JALZDI01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Propionibacteriales;f__Nocardioidaceae;g__JALZDI01;s__	taxonomic classification fully defined by topology	classification based on placement in class-level tree	N/A	77.98	11	0.93136	N/A
SemiBin_145	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__BPHZ01;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Chloroflexia;o__Chloroflexales;f__Herpetosiphonaceae;g__BPHZ01;s__	taxonomic novelty determined using RED	classification based on placement in class-level tree	N/A	52.82	11	0.85069	N/A
